date,cor001_avg_pairwise_corr_60d,cor001_percentile_252d,spy_realized_vol_20d,spy_drawdown_52w,spy_distance_sma200,brd001_pct_above_sma200
2020-03-16,0.7301479518,1.0,0.7829757873264087,-0.29109768664777025,-0.21199305955864167,0.03958333333
2020-03-17,0.7113924385,0.996031746,0.8201411013578344,-0.2528225873736383,-0.1691402543758238,0.1104166667
2011-10-21,0.7045474215,1.0,0.28528531182452965,-0.09132882887920868,-0.02867396845842729,0.4079254079
2011-10-24,0.7044356745,0.996031746,0.2779671779108268,-0.08018760829233529,-0.01670097573894036,0.4405594406
2011-10-18,0.7039678411,1.0,0.32570167455520366,-0.10151719994327302,-0.040138301759864214,0.351981352
2011-10-25,0.7038758113,0.9880952381,0.2885045854005427,-0.09807220070604472,-0.03567150701434474,0.3939393939
2011-10-19,0.703559321,0.996031746,0.30888924435411247,-0.11214539502851784,-0.05127525277277434,0.3053613054
2011-10-17,0.7029740243,1.0,0.31841948890430927,-0.11874214020773344,-0.058704683065825436,0.2913752914
2011-10-27,0.7023143106,0.9761904762,0.2967184739935142,-0.057172089802167037,0.0081799901951074,0.5361305361
2011-10-20,0.7010639283,0.9880952381,0.28028111877862305,-0.10826057177010906,-0.046900889466218176,0.3286713287
2011-10-10,0.700456867,1.0,0.3162340064089253,-0.12350649966514093,-0.06471296093557666,0.2913752914
2011-09-07,0.6998948315,1.0,0.37915654475753685,-0.11830237210823391,-0.06431519524291285,0.3255269321
2011-09-14,0.6996036912,0.996031746,0.3147379501689311,-0.12504574393506995,-0.07118030667843778,0.2974238876
2011-10-14,0.6994916554,0.9880952381,0.3126378467522248,-0.10159051326708324,-0.04059187956403598,0.3426573427
2011-09-13,0.6990514754,0.996031746,0.31167793998077753,-0.13699329924049408,-0.08385591298775996,0.2669789227
2011-10-26,0.6987503247,0.9523809524,0.2764975939467589,-0.08890999248859977,-0.025755914877888086,0.4219114219
2011-09-12,0.6986083265,0.996031746,0.31959624931167613,-0.14483614723775973,-0.092219100697153,0.2341920375
2011-09-09,0.6985980315,0.996031746,0.31967426136255134,-0.15033347216822668,-0.09817851583732151,0.2318501171
2011-09-15,0.6980453347,0.9801587302,0.32062090750732597,-0.10994644268765863,-0.05525949667187302,0.3231850117
2011-09-08,0.6980301014,0.996031746,0.34094061237636714,-0.12746458032567898,-0.073996996893688,0.2950819672
2011-10-11,0.6978369937,0.9682539683,0.3148548971777452,-0.1226269634661421,-0.06355652810243229,0.2727272727
2011-09-22,0.6977535642,0.9722222222,0.28852005363050814,-0.17276253998959412,-0.12123232405767081,0.1939252336
2020-03-18,0.697707383,0.9920634921,0.8273047485029841,-0.290654363664653,-0.21076074978084036,0.06666666667
2011-09-19,0.6974156018,0.9722222222,0.2683936284552708,-0.11815580138229453,-0.06390989591547958,0.337236534
2011-10-13,0.6970581666,0.9563492063,0.3065128095688228,-0.11668981451449467,-0.056832642359150976,0.2983682984
