artifact,path,sha256,status
FUF frozen membership,C:\Users\piard\Desktop\backterster\research\market_edge_discovery_program\fuf_001_free_exploratory_universe_freeze\fuf001_frozen_membership.csv,32B76B22E974A319482FD61B8A75B19DB80252B6B0CB14DFC3AE1DB60C81D454,PASS
FUF selection rule,C:\Users\piard\Desktop\backterster\research\market_edge_discovery_program\fuf_001_free_exploratory_universe_freeze\fuf001_selection_rule.md,5E57BD6C989F1171B4D34E6C24D44392B9C0AC41DA44C165A37789620A395E61,PASS
CSM model,C:\Users\piard\Desktop\backterster\research\implementations\csm_001\csm001_momentum_model.py,2E4E109BB4F1272F0013ABFF9569D8957260B92221C5DDFF1699EC71127647AE,PASS
CSM feature pipeline,C:\Users\piard\Desktop\backterster\research\implementations\csm_001\feature_pipeline.py,4F0BBE6B4AB5E0E3E1C769258CD77C5E6564A73498FEC2C41A21E66B26B54F10,PASS
TSM model,C:\Users\piard\Desktop\backterster\research\implementations\tsm_001\tsm001_momentum_model.py,0826AC56ACE07E13F2F64CB40147094630657F638180C1C4DFFE09945BF17492,PASS
TSM feature pipeline,C:\Users\piard\Desktop\backterster\research\implementations\tsm_001\feature_pipeline.py,6F80E3E143944BB42ACA31A9BAE0C841FEF9A2C643645CA1949875F302782079,PASS
Missing data policy,C:\Users\piard\Desktop\backterster\research\market_edge_discovery_program\exb_001_non_formal_exploratory_backtest_preparation\exb001_missing_data_policy.md,AE6D8454317792E0C139FC931302655A8F995B930519C28439F273205E224749,PASS
Cost model,C:\Users\piard\Desktop\backterster\research\market_edge_discovery_program\exb_001_non_formal_exploratory_backtest_preparation\exb001_exploratory_cost_model.md,BF8CBFE0C49CBFBF9388EEDBBC69276D081035BF96FB2D9D780B748FD67B18F7,PASS
Benchmark spec,C:\Users\piard\Desktop\backterster\research\market_edge_discovery_program\exb_001_non_formal_exploratory_backtest_preparation\exb001_benchmark_spec.md,F657641C1D6B09441588D9B609D3FB5984E431FD99FB593A8B2E98B107F3320E,PASS
