rebalance_signal_date,total_universe,valid_current_price,valid_volume,valid_t_minus_252,valid_t_minus_21,final_eligible_count,eligible_count_ge_50
2022-01-31,250,250,250,250,250,250,True
2022-02-28,250,250,250,250,250,250,True
2022-03-31,250,250,250,250,250,250,True
2022-04-29,250,250,250,250,250,250,True
2022-05-31,250,250,250,250,250,250,True
2022-06-30,250,250,250,250,250,250,True
2022-07-29,250,250,250,250,250,250,True
2022-08-31,250,250,250,250,250,250,True
2022-09-30,250,250,250,250,250,250,True
2022-10-31,250,250,250,250,250,250,True
2022-11-30,250,250,250,250,250,250,True
2022-12-30,250,250,250,250,250,250,True
2023-01-31,250,250,250,250,250,250,True
2023-02-28,250,250,250,250,250,250,True
2023-03-31,250,250,250,250,250,250,True
2023-04-28,250,250,250,250,250,250,True
2023-05-31,250,250,250,250,249,249,True
2023-06-30,250,250,250,250,250,250,True
2023-07-31,250,250,250,250,250,250,True
2023-08-31,250,250,250,250,250,250,True
2023-09-29,250,250,250,250,250,250,True
2023-10-31,250,250,250,250,250,250,True
2023-11-30,250,250,250,250,250,250,True
2023-12-29,250,250,250,250,250,250,True
2024-01-31,250,250,250,250,250,250,True
2024-02-29,250,250,250,250,250,250,True
2024-03-28,250,250,250,250,250,250,True
2024-04-30,250,250,250,250,250,250,True
2024-05-31,250,250,250,250,250,250,True
2024-06-28,250,250,250,250,250,250,True
2024-07-31,250,250,250,250,250,250,True
2024-08-30,250,250,250,250,250,250,True
2024-09-30,250,250,250,250,250,250,True
2024-10-31,250,250,250,250,250,250,True
2024-11-29,250,250,250,250,250,250,True
2024-12-31,250,250,250,250,250,250,True
2025-01-31,250,250,250,250,250,250,True
2025-02-28,250,250,250,250,250,250,True
2025-03-31,250,250,250,250,250,250,True
2025-04-30,250,250,250,250,250,250,True
2025-05-30,250,250,250,250,250,250,True
2025-06-30,250,250,250,250,250,250,True
2025-07-31,250,250,250,250,250,250,True
2025-08-29,250,250,250,250,250,250,True
2025-09-30,250,250,250,250,250,250,True
2025-10-31,250,250,250,250,250,250,True
2025-11-28,250,250,249,250,250,250,True
2025-12-31,250,250,250,250,250,250,True
2026-01-30,250,250,250,250,250,250,True
2026-02-27,250,250,250,250,250,250,True
2026-03-31,250,250,250,250,250,250,True
2026-04-30,250,250,250,250,250,250,True
2026-05-29,250,250,250,250,250,250,True
2026-06-30,250,250,250,250,250,250,True
2026-07-31,250,250,250,250,250,250,True
2026-08-11,250,250,250,250,250,250,True
