lag_trading_days,dates_evaluated,mean_cross_sectional_spearman,median_cross_sectional_spearman,p10_cross_sectional_spearman,p90_cross_sectional_spearman
1,3770,0.9938323642737846,0.9945555719597495,0.9901226350594973,0.9968036853645066
5,3766,0.9710767364824995,0.9742030526723742,0.9561790400337193,0.9836017662865821
21,3750,0.8890866647671467,0.899816734706864,0.838028700780629,0.931135021073099
63,3708,0.6951855829332154,0.7162824873007934,0.577507867399369,0.8002670180398008
126,3645,0.4266338918453202,0.44899095685940715,0.2343561029497822,0.597535768769211
