ticker,valid_days,mean_score,median_score,top_decile_days,top_decile_rate,mean_return_12_1,median_return_12_1
A,3771,0.4784419924556236,0.4714587737843552,51,0.013524264120922832,0.13883075343248713,0.1054277366889722
AAPL,3771,0.6263623260947172,0.6817204301075269,898,0.2381331211880138,0.26662269446495,0.260166979393766
ABBV,3017,0.5556105470818227,0.5484581497797357,374,0.12396420285051375,0.18642644856595386,0.18015547645323
ABNB,1017,0.3407993229121882,0.2281059063136456,6,0.0058997050147492625,-0.023495397839753518,-0.0522945993875857
ABT,3771,0.5001884262927577,0.4890829694323144,25,0.006629541235746487,0.1409139833082161,0.1671136344795849
ACGL,3771,0.5424158564314505,0.569620253164557,334,0.08857067090957306,0.17737827280818483,0.1993884144110309
ACN,3771,0.5326479660406275,0.5557809330628803,52,0.013789445770352692,0.16109689181904088,0.1599172454929287
ADBE,3771,0.562673464843601,0.630801687763713,587,0.1556616282153275,0.20707980094629036,0.2130239192036946
ADI,3771,0.53739833405098,0.5292740046838408,6,0.0015910898965791568,0.16590900720309495,0.1635995345041538
ADM,3771,0.4047819271547739,0.3349056603773584,223,0.05913550782285866,0.08639937365535008,0.0523404001832419
ADP,3771,0.5515254459368211,0.5361990950226244,15,0.003977724741447892,0.1688839926413524,0.1696973705593225
ADSK,3771,0.5281489866129777,0.5560253699788583,397,0.1052771148236542,0.18101747060337828,0.1797295508752614
AEE,3771,0.483539471848252,0.4551422319474836,112,0.02970034473614426,0.1270844096033968,0.135040590789536
AEP,3771,0.47378906314213226,0.4585253456221198,34,0.009016176080615222,0.11727786554049742,0.1148730870487055
AES,3771,0.364552511996694,0.3042596348884381,214,0.056748872977989924,0.06202659949014906,0.0305624832162465
AFL,3771,0.48903629734832055,0.5370786516853933,3,0.0007955449482895784,0.13485008111686245,0.148659974377612
AIG,3771,0.45859409086939773,0.4878542510121457,113,0.029965526385574117,0.12026674593968785,0.1000141030567283
AIZ,3771,0.5063360143796223,0.516597510373444,135,0.03579952267303103,0.15219720059781158,0.1365754080385397
AJG,3771,0.5858684673748081,0.6099290780141844,66,0.017501988862370723,0.2001239521748699,0.208212104043485
AKAM,3771,0.4240960058305131,0.3710407239819004,261,0.06921241050119331,0.08337209205241604,0.0690937656210732
ALB,3771,0.4275036592841134,0.2880184331797235,716,0.18987006099177936,0.12478696360968178,0.0188653455611165
ALGN,3771,0.5386962554427621,0.5573770491803278,1088,0.2885176345796871,0.2643062019787587,0.1740137153837921
ALL,3771,0.5252719949909386,0.5349794238683128,229,0.060726597719437815,0.16238171158892245,0.1444833132740177
ALLE,2795,0.49018109635733803,0.4884210526315789,31,0.0110912343470483,0.11685387653691161,0.125912053753717
AMAT,3771,0.5661207131191411,0.6704035874439462,953,0.25271811190665605,0.2624781170205536,0.2404712625237781
AMCR,3175,0.3619710394996979,0.3414096916299559,6,0.001889763779527559,0.0546324992684266,0.0651753740137623
AMD,3771,0.5142614762275297,0.5278350515463918,1256,0.33306815168390347,0.39177380700419195,0.1814346360847039
AME,3771,0.5382828101908472,0.5526315789473685,86,0.022805621850967912,0.1683633041114825,0.149362309484091
AMGN,3771,0.5024007361975825,0.4820295983086681,278,0.07372049854150092,0.14364947511253454,0.1228071354089517
AMP,3771,0.587182008656127,0.6613272311212814,201,0.053301511535401754,0.21909803110396928,0.2087735414610005
AMT,3771,0.49187218813236194,0.4777070063694267,177,0.046937151949085126,0.12836653979812726,0.1336931524678433
AMZN,3771,0.6098631745269646,0.6711711711711712,930,0.2466189339697693,0.2763424758449197,0.2690712912646993
ANET,2658,0.6797561962019452,0.8003930020283976,1032,0.38826185101580135,0.39074505492921585,0.358104568631994
AON,3771,0.5516125872039107,0.5720930232558139,39,0.010342084327764518,0.16628607102712742,0.1731684231161183
AOS,3771,0.5483381564941499,0.5978494623655914,379,0.10050384513391673,0.18038067193523638,0.1924927631167399
APA,3771,0.28172566228452556,0.1133786848072562,438,0.11614956245027844,0.003987341687530423,-0.1100782217192768
APD,3771,0.4786167536848824,0.4730679156908665,114,0.030230708035003977,0.12740886890654982,0.1211937495198629
APH,3771,0.5931704908900249,0.5934959349593496,168,0.04455051710421639,0.21326876523059174,0.2135465819178985
APO,3459,0.6037013460102104,0.6815415821501014,907,0.26221451286498987,0.2932795076472782,0.2376039752478365
APP,932,0.637016260309671,0.9898580121703854,577,0.619098712446352,1.5463353167719274,1.360908792478334
APTV,3297,0.47501901176373135,0.4823008849557522,321,0.09736123748862602,0.14357781035406791,0.1081200445710588
ARE,3771,0.3904529089952762,0.3723653395784543,17,0.004508088040307611,0.059362255922226666,0.0834121907478511
ARES,2682,0.6765367934344797,0.7600113591487738,579,0.21588366890380314,0.29485460433713123,0.29744855598686903
ATO,3771,0.5187159644240072,0.5011441647597255,215,0.057014054627419784,0.1463279089178049,0.1516923000912358
AVB,3771,0.43742200385067387,0.4298850574712644,45,0.011933174224343675,0.09494617252595872,0.0900605657145789
AVGO,3771,0.7321214248083032,0.8260869565217391,1442,0.38239193847785735,0.41331273261266377,0.3790626440469407
AVY,3771,0.5069270137343682,0.4989473684210526,169,0.04481569875364625,0.1528513170320717,0.1435226776137341
AWK,3771,0.5210832170227994,0.4888392857142857,262,0.06947759215062317,0.15259064785500692,0.1540875691004086
AXON,3771,0.6674630734385435,0.8418604651162791,1558,0.41315300981172104,0.4560220790329788,0.3756022991231478
AXP,3771,0.5313202936067988,0.5835095137420718,101,0.026783346592415803,0.17004988325010087,0.1798228802303259
AZO,3771,0.5973012869959015,0.6346555323590815,641,0.1699814372845399,0.21470203954135014,0.2203259273861051
BA,3771,0.466358212902842,0.4262672811059907,484,0.12834791832405198,0.14162579281292698,0.0873631269464201
BAC,3771,0.4715564340053478,0.4270152505446623,430,0.11402810925483957,0.13926776996297643,0.0915672497353088
BALL,3771,0.4579865239691117,0.4429530201342282,265,0.07027313709891275,0.11839426625843591,0.0982587570111934
BAX,3771,0.3795073433508104,0.3509933774834437,27,0.007159904534606206,0.04192880892158521,0.0473883774986929
BBY,3771,0.4310883756191297,0.3617886178861789,535,0.14187218244497482,0.13666572169900054,0.0323650847476002
BDX,3771,0.4390900144278544,0.4543325526932084,0,0.0,0.08904722102381069,0.0856523968400644
BEN,3771,0.3348249550286948,0.2900608519269776,2,0.0005303632988597189,0.032185075720617885,0.0123102505181316
BF.B,3771,0.4382287641465026,0.4493392070484581,57,0.015115354017501989,0.08062821483119745,0.0944893496130592
BG,3771,0.3734120781336856,0.2857142857142857,133,0.035269159374171306,0.0748125607771284,0.0463244856646971
BIIB,3771,0.4422214992877843,0.3340380549682875,632,0.16759480243967118,0.10832604027849738,0.0779091778795282
BKNG,3771,0.572113190593579,0.5809935205183585,510,0.13524264120922833,0.23838078776010677,0.1853100934668556
BKR,3771,0.39898550829925333,0.3076923076923077,336,0.08910103420843278,0.0836634560345475,0.04480718974244
BLDR,3771,0.5938791550866942,0.7282377919320594,1310,0.3473879607531159,0.37860521316486073,0.2809916951521032
BLK,3771,0.5169724946179307,0.5328947368421053,49,0.012993900822063113,0.1622672469724728,0.1734343866447267
BMY,3771,0.43489681662550816,0.3891129032258064,192,0.05091487669053302,0.09344721374736766,0.1097371088538692
BNY,3771,0.4636151045977657,0.4556701030927835,171,0.045346062052505964,0.12681383536277183,0.1206018314532619
BR,3771,0.5695386030863948,0.5527950310559007,284,0.07531158843808008,0.19646864056918262,0.1877196038373667
BRK.B,3771,0.4799403194879059,0.4851258581235698,0,0.0,0.12831574794337766,0.1314105190135253
BRO,3771,0.54895152450256,0.5871559633027523,118,0.031291434632723415,0.17939311731032898,0.1903880917520959
BSX,3771,0.5648287095695723,0.6121212121212121,495,0.13126491646778043,0.20832678838404162,0.1806896341258081
BX,3771,0.6078224985264941,0.6518987341772152,762,0.2020684168655529,0.27226653339292145,0.2164132963492815
BXP,3771,0.37745666118007665,0.3736017897091722,9,0.002386634844868735,0.051584640161926876,0.066903460426523
C,3771,0.4213789897340866,0.3544303797468354,215,0.057014054627419784,0.10653102758891139,0.0536438160603249
CAH,3771,0.4730765015322846,0.462085308056872,375,0.09944311853619729,0.14456663458185973,0.1193323579559124
CARR,1202,0.5953022490077312,0.6612739645357586,99,0.08236272878535773,0.2587982563078617,0.2218890645870138
CASY,3771,0.5633511570868265,0.6346604215456675,378,0.10023866348448687,0.19354145308478876,0.1900681835556164
CAT,3771,0.5112365416683974,0.5352697095435685,382,0.10129939008220631,0.17522916879888636,0.1284938078031403
CB,3771,0.4969060105283586,0.4863157894736842,28,0.007425086184036065,0.13831175618880537,0.1444098072521979
CBOE,3659,0.5656612503713616,0.6170678336980306,203,0.055479639245695545,0.18509093714322977,0.1683373200735496
