year,observations,jaccard,p_tsm_high_given_csm_high,p_csm_high_given_tsm_high,nesting_supported,csm_spread_within_tsm_high_21d,tsm_spread_within_csm_not_high_21d,csm_spread_within_tsm_high_63d,tsm_spread_within_csm_not_high_63d,csm_spread_within_tsm_high_126d,tsm_spread_within_csm_not_high_126d
2011,107293,0.12845014386700296,1.0,0.12845014386700296,True,0.004101122709825439,-0.021751761622336878,0.015806976422693714,-0.07549339202388987,0.022078508970164758,-0.055586159763423
2012,108773,0.1435600276679326,1.0,0.1435600276679326,True,0.007880939169142481,-0.0011581830116687251,0.007753467029110082,0.022436076215972482,0.003728355037808856,0.0334477859997456
2013,111214,0.11366094806757181,1.0,0.11366094806757181,True,0.012513309239974343,9.166526207813122e-05,0.03583046498460406,-0.0006399352237569239,0.05994787299501339,-0.01703209710213513
2014,113525,0.11389440254069075,1.0,0.11389440254069075,True,0.0009797917572542374,-0.0028059543580066758,-0.0074266024592205965,-0.011108322593064726,0.006089184819692714,-0.019510033885929146
2015,115201,0.13321687965431644,1.0,0.13321687965431644,True,3.235241515059644e-05,0.015002132300706465,-0.012528220113092792,0.03099992605147546,-0.017453439927602277,0.023843705870494128
2016,116558,0.16515072947178114,1.0,0.16515072947178114,True,0.0019522301925434804,-0.021193304381227754,0.0037151874277795427,-0.03518597157402053,0.011909011786243887,-0.06433108474915841
2017,117356,0.11743465105897524,1.0,0.11743465105897524,True,0.004190209639381444,0.0021731014658751754,0.01723893619502348,0.01145987665639555,0.05002861911968509,0.008039473648272968
2018,118781,0.13404539385847797,1.0,0.13404539385847797,True,0.007600037521309815,-0.002536911510817533,0.019607628489524957,-0.02823278479776692,0.011076559929175459,-0.02745303842569532
2019,119819,0.15361560539483377,1.0,0.15361560539483377,True,0.0038238306035426883,-0.003770233409704303,0.014996234286433579,-0.028367730463396527,0.024143512615887115,-0.003664998570864119
2020,121825,0.1710846388012399,1.0,0.1710846388012399,True,0.026997864868998616,-0.04147819922955821,0.061632499191880616,-0.0935079557042167,0.08947432353752463,-0.15104498973262281
2021,122464,0.11306863966009816,1.0,0.11306863966009816,True,-0.007903159569783887,-0.02234597814814207,0.005057106990163526,-0.0514866881656496,0.04031976691758545,-0.04683992682033145
2022,123435,0.19707879362071687,1.0,0.19707879362071687,True,0.013896101407339313,-0.012568942742750201,0.0179005395749278,-0.02880276511516655,0.031921170909552106,-0.06825556242673222
2023,123497,0.18067500180675003,1.0,0.18067500180675003,True,0.010053552011845839,-0.004348695412598193,0.050033314674813596,0.00723777484703296,0.12483445144723701,0.024204353630729536
2024,124967,0.13058754029040182,1.0,0.13058754029040182,True,0.03177162574238998,0.001209506402089701,0.06516048596084303,-0.001123541126435694,0.12505654600979005,0.007439689862149712
2025,124132,0.15612264091792588,1.0,0.15612264091792588,True,0.013528972089499835,-0.0028826118364922004,0.05610581430651706,-0.010468570907999908,0.1549403791868544,-0.0243135314378444
