date,fund001_cp_rate,fund001_tbill_rate,fund001_cp_tbill_spread,fund001_zscore_252d,fund001_percentile_252d
2022-03-04,1.12,0.33,0.79,12.706965531627324,1.0
2020-03-20,2.12,0.05,2.0700000000000003,10.399094215922464,1.0
2020-03-24,2.35,0.01,2.3400000000000003,9.47876963879627,1.0
2020-03-25,2.53,-0.04,2.57,8.721954564517873,1.0
2007-08-20,5.23,3.08,2.1500000000000004,8.287387740726572,1.0
2007-08-16,5.35,3.69,1.6599999999999997,7.805788095231099,1.0
2020-03-16,1.35,0.24,1.11,7.730320467989853,1.0
2020-03-26,2.44,-0.05,2.49,7.419209630572541,0.996031746031746
2020-03-12,1.19,0.33,0.8599999999999999,7.16563742343075,1.0
2022-03-17,1.01,0.4,0.61,6.895428057213776,0.996031746031746
2007-08-17,5.26,3.65,1.61,6.756063159336482,0.996031746031746
2020-03-17,1.25,0.19,1.06,6.630121365876843,0.996031746031746
2007-08-15,5.41,4.1,1.3100000000000005,6.5320058100279965,1.0
1998-10-08,5.2,3.8,1.4000000000000004,6.314346600936256,1.0
2022-07-01,2.77,1.66,1.11,6.224983424906431,1.0
2020-03-13,1.09,0.27,0.8200000000000001,6.201876950836372,0.996031746031746
2007-08-21,5.28,3.51,1.7700000000000005,5.982317159794415,0.996031746031746
1998-10-09,5.2,3.79,1.41,5.905250163951095,1.0
2022-03-15,0.91,0.46,0.45,5.764943249624149,0.996031746031746
2022-03-16,0.9,0.43,0.47,5.656781220144024,0.996031746031746
2007-08-22,5.37,3.58,1.79,5.649712791290559,0.996031746031746
2016-08-04,0.9,0.26,0.64,5.4078098157919,1.0
2022-03-03,0.62,0.37,0.25,5.309152859534576,1.0
1998-10-16,5.04,3.56,1.48,5.30308724164392,1.0
1998-10-13,5.14,3.8,1.34,5.119074881912174,0.992063492063492
