sample,horizon_days,workflow,benchmark,gross_mean_spread,transaction_cost_scenario,slippage_scenario,total_round_trip_drag,turnover_diff_assumption,net_mean_spread,survives_cost
oos,126,CSM_SUBSET_WITHIN_TSM,TSM_BROAD_NOT_CSM,0.1945303391450883,Medium,Medium,0.002,0.016837071445342203,0.19449666500219762,True
oos,126,CSM_SUBSET_WITHIN_TSM,TSM_BROAD_NOT_CSM,0.1945303391450883,Medium,High,0.003,0.016837071445342203,0.19447982793075227,True
oos,126,CSM_SUBSET_WITHIN_TSM,TSM_BROAD_NOT_CSM,0.1945303391450883,Medium,Stress,0.006,0.016837071445342203,0.19442931671641625,True
oos,126,CSM_SUBSET_WITHIN_TSM,TSM_BROAD_NOT_CSM,0.1945303391450883,High,Low,0.0029000000000000002,0.016837071445342203,0.19448151163789681,True
oos,126,CSM_SUBSET_WITHIN_TSM,TSM_BROAD_NOT_CSM,0.1945303391450883,High,Medium,0.0035,0.016837071445342203,0.1944714093950296,True
oos,126,CSM_SUBSET_WITHIN_TSM,TSM_BROAD_NOT_CSM,0.1945303391450883,High,High,0.0045000000000000005,0.016837071445342203,0.19445457232358426,True
oos,126,CSM_SUBSET_WITHIN_TSM,TSM_BROAD_NOT_CSM,0.1945303391450883,High,Stress,0.0075,0.016837071445342203,0.19440406110924824,True
oos,126,CSM_SUBSET_WITHIN_TSM,TSM_BROAD_NOT_CSM,0.1945303391450883,Stress,Low,0.0054,0.016837071445342203,0.19443941895928346,True
oos,126,CSM_SUBSET_WITHIN_TSM,TSM_BROAD_NOT_CSM,0.1945303391450883,Stress,Medium,0.006,0.016837071445342203,0.19442931671641625,True
oos,126,CSM_SUBSET_WITHIN_TSM,TSM_BROAD_NOT_CSM,0.1945303391450883,Stress,High,0.007,0.016837071445342203,0.1944124796449709,True
oos,126,CSM_SUBSET_WITHIN_TSM,TSM_BROAD_NOT_CSM,0.1945303391450883,Stress,Stress,0.01,0.016837071445342203,0.19436196843063488,True
reference,21,CSM_SUBSET_WITHIN_TSM,TSM_BROAD_NOT_CSM,0.0067043220507428,Low,Low,0.0009,0.04600601859427819,0.00666291663400795,True
reference,21,CSM_SUBSET_WITHIN_TSM,TSM_BROAD_NOT_CSM,0.0067043220507428,Low,Medium,0.0015,0.04600601859427819,0.006635313022851383,True
reference,21,CSM_SUBSET_WITHIN_TSM,TSM_BROAD_NOT_CSM,0.0067043220507428,Low,High,0.0025,0.04600601859427819,0.006589307004257105,True
reference,21,CSM_SUBSET_WITHIN_TSM,TSM_BROAD_NOT_CSM,0.0067043220507428,Low,Stress,0.0055,0.04600601859427819,0.00645128894847427,True
reference,21,CSM_SUBSET_WITHIN_TSM,TSM_BROAD_NOT_CSM,0.0067043220507428,Medium,Low,0.0014,0.04600601859427819,0.006639913624710811,True
reference,21,CSM_SUBSET_WITHIN_TSM,TSM_BROAD_NOT_CSM,0.0067043220507428,Medium,Medium,0.002,0.04600601859427819,0.006612310013554243,True
reference,21,CSM_SUBSET_WITHIN_TSM,TSM_BROAD_NOT_CSM,0.0067043220507428,Medium,High,0.003,0.04600601859427819,0.006566303994959966,True
reference,21,CSM_SUBSET_WITHIN_TSM,TSM_BROAD_NOT_CSM,0.0067043220507428,Medium,Stress,0.006,0.04600601859427819,0.006428285939177131,True
reference,21,CSM_SUBSET_WITHIN_TSM,TSM_BROAD_NOT_CSM,0.0067043220507428,High,Low,0.0029000000000000002,0.04600601859427819,0.006570904596819393,True
reference,21,CSM_SUBSET_WITHIN_TSM,TSM_BROAD_NOT_CSM,0.0067043220507428,High,Medium,0.0035,0.04600601859427819,0.006543300985662827,True
reference,21,CSM_SUBSET_WITHIN_TSM,TSM_BROAD_NOT_CSM,0.0067043220507428,High,High,0.0045000000000000005,0.04600601859427819,0.006497294967068548,True
