score_variant,segment_type,segment,trade_count,win_rate_pct,avg_R,median_R,auc,ic,top_decile_trade_count,top_decile_win_rate_pct,top_decile_avg_R,bottom_decile_trade_count,bottom_decile_win_rate_pct,bottom_decile_avg_R,lift_avg_R,calibration_slope,calibration_monotonicity,year,train_trade_count,test_trade_count,train_year_span
COMPOSITE_TREND_PROXY,OVERALL,OVERALL_OOS,1112,29.496402877697843,-0.26872173999820964,-0.6149442926899948,0.5120006844201095,-0.014396980623812344,112,35.714285714285715,-0.04734261525855736,112,30.357142857142854,-0.22776700706750314,0.18042439180894576,0.008075788793277538,0.5,2011,1469,1112,2010-2010
COMPOSITE_TREND_PROXY,OVERALL,OVERALL_OOS,1304,34.43251533742331,-0.05161591022621999,-0.552938107471664,0.4591489860508733,-0.10006219881833611,131,29.770992366412212,-0.2036785921287922,131,41.98473282442748,0.29143118659569905,-0.49510977872449125,-0.019540229885057533,0.25,2012,2581,1304,2010-2011
COMPOSITE_TREND_PROXY,OVERALL,OVERALL_OOS,1793,42.944785276073624,0.2274355001184022,-0.2949288892593104,0.4353823107488797,-0.1277243591131461,180,36.666666666666664,0.0381694153216705,180,49.44444444444444,0.49495293519044786,-0.45678351986877735,-0.037347691445822506,0.25,2013,3885,1793,2010-2012
COMPOSITE_TREND_PROXY,OVERALL,OVERALL_OOS,1335,36.17977528089887,-0.03787650539832117,-0.5239689666227236,0.42960176518045473,-0.12102518343196697,134,36.56716417910448,-0.07900716131958507,134,50.0,0.4310677548120058,-0.510074916131591,-0.04082397003745323,0.25,2014,5678,1335,2010-2013
COMPOSITE_TREND_PROXY,OVERALL,OVERALL_OOS,1239,30.508474576271187,-0.30697335295907674,-0.6268556879085714,0.4631135200240891,-0.07506171879899412,124,31.451612903225808,-0.25866437554703053,124,38.70967741935484,-0.03207683222184145,-0.2265875433251891,-0.02016129032258071,0.25,2015,7013,1239,2010-2014
COMPOSITE_TREND_PROXY,OVERALL,OVERALL_OOS,1364,39.002932551319645,0.1941312399366515,-0.40493845213858815,0.45243366830537884,-0.08492224411094075,137,37.22627737226277,0.1354410525171638,137,48.9051094890511,0.38669693235472874,-0.2512558798375649,-0.02564102564102566,0.25,2016,8252,1364,2010-2015
COMPOSITE_TREND_PROXY,OVERALL,OVERALL_OOS,1620,42.098765432098766,0.25078158765664327,-0.3375608595006375,0.45386859168756133,-0.10360531927359226,162,33.95061728395062,-0.010831066106533324,162,45.67901234567901,0.45869392842078477,-0.4695249945273181,-0.026234567901234622,0.25,2017,9616,1620,2010-2016
COMPOSITE_TREND_PROXY,OVERALL,OVERALL_OOS,1162,32.61617900172117,-0.206441204003291,-0.631760000099111,0.5136694332399909,-0.0019223045875838732,117,39.31623931623932,0.17790115752379754,117,28.205128205128204,-0.2732439284519042,0.45114508597570174,0.00643591830694093,0.5,2018,11236,1162,2010-2017
COMPOSITE_TREND_PROXY,OVERALL,OVERALL_OOS,1171,41.16140051238258,0.07710052566205736,-0.3587927971863718,0.42126420514426466,-0.12466568124082049,118,32.20338983050847,-0.17725203853266866,118,54.23728813559322,0.46251807488388386,-0.6397701134165525,-0.04485906528459724,0.25,2019,12398,1171,2010-2018
COMPOSITE_TREND_PROXY,OVERALL,OVERALL_OOS,1381,39.53656770456191,0.06967598704523575,-0.4439591844212309,0.4634160250926718,-0.03501407607619256,139,34.53237410071942,0.19000135667137844,139,48.201438848920866,0.3031038865864699,-0.11310252991509148,-0.01889682415110137,0.5,2020,13569,1381,2010-2019
COMPOSITE_TREND_PROXY,OVERALL,OVERALL_OOS,1565,35.20766773162939,-0.06050238542140398,-0.4642175055972697,0.45337686186492554,-0.0485100618268201,157,35.03184713375796,0.01516593803575307,157,40.12738853503185,-0.027629013075107182,0.04279495111086025,-0.0277955271565495,0.25,2021,14950,1565,2010-2020
COMPOSITE_TREND_PROXY,OVERALL,OVERALL_OOS,1017,32.055063913470995,-0.17074156591030146,-0.5677933022808946,0.4181944900695178,-0.16263573471853146,102,20.588235294117645,-0.5383137132402407,102,43.13725490196079,0.12232291248008553,-0.6606366257203262,-0.04220515792523914,0.0,2022,16515,1017,2010-2021
COMPOSITE_TREND_PROXY,OVERALL,OVERALL_OOS,1292,33.51393188854489,-0.10553019400128773,-0.5712999226533462,0.4548336187682654,-0.08903160687241168,130,33.84615384615385,0.016620804951335867,130,40.0,0.270368759151555,-0.2537479542002191,-0.023586543353985266,0.25,2023,17532,1292,2010-2022
COMPOSITE_TREND_PROXY,OVERALL,OVERALL_OOS,1636,39.7921760391198,0.12014482505675274,-0.4402052078628192,0.499829235771597,-0.015176753968331505,164,34.146341463414636,-0.03243889934358349,164,43.292682926829265,0.2731059035801009,-0.30554480292368436,0.0023868128589542414,0.5,2024,18824,1636,2010-2023
COMPOSITE_TREND_PROXY,OVERALL,OVERALL_OOS,1192,31.1241610738255,-0.21463281056022157,-0.5824838605502002,0.5135969217737885,-0.0013673110954162666,120,31.666666666666664,0.015225792518628833,120,24.166666666666668,-0.285766342491607,0.3009921350102358,0.004166520164551127,0.5,2025,20460,1192,2010-2024
TREND_STRENGTH_PROXY,OVERALL,OVERALL_OOS,1112,29.496402877697843,-0.26872173999820964,-0.6149442926899948,0.5222125435540069,0.021996046683339623,112,32.142857142857146,-0.16397439403161854,112,25.0,-0.3348810797938908,0.17090668576227228,0.011655152910758242,0.75,2011,1469,1112,2010-2010
TREND_STRENGTH_PROXY,OVERALL,OVERALL_OOS,1304,34.43251533742331,-0.05161591022621999,-0.552938107471664,0.4891129084775785,-0.05836369537288524,131,38.16793893129771,0.19385905124543132,131,38.93129770992366,0.18500566970362964,0.00885338154180168,-0.005363984674329535,0.25,2012,2581,1304,2010-2011
TREND_STRENGTH_PROXY,OVERALL,OVERALL_OOS,1793,42.944785276073624,0.2274355001184022,-0.2949288892593104,0.49291363572888497,-0.0033221417319676855,180,38.88888888888889,0.14005762267124278,180,45.0,0.19075877645550524,-0.05070115378426246,-0.001950638801139122,0.5,2013,3885,1793,2010-2012
