score_variant,metric,estimate,ci_low,ci_high,bootstrap_method,iterations
COMPOSITE_TREND_PROXY,auc,0.4716796212595731,0.45594001001747775,0.48554277978277804,year_cluster,300
COMPOSITE_TREND_PROXY,ic,-0.05540406085253783,-0.0773855604388227,-0.03348096897597376,year_cluster,300
COMPOSITE_TREND_PROXY,lift_avg_R,-0.15943687645116222,-0.2781356649399667,-0.022435862901370836,year_cluster,300
COMPOSITE_TREND_PROXY,calibration_slope,-0.020808917414805027,-0.029154161063486946,-0.012766777639748029,year_cluster,300
COMPOSITE_TREND_PROXY,top_decile_avg_R,-0.0193397855757841,-0.08650345497089498,0.029788956750681276,year_cluster,300
COMPOSITE_TREND_PROXY,bottom_decile_avg_R,0.14009709087537814,0.028283509640108635,0.26676387488305636,year_cluster,300
TREND_STRENGTH_PROXY,auc,0.49820298715203676,0.4856645115022811,0.5115429870010478,year_cluster,300
TREND_STRENGTH_PROXY,ic,0.0020435672475372087,-0.02423431561130491,0.028082985530631488,year_cluster,300
TREND_STRENGTH_PROXY,lift_avg_R,0.027324443977385395,-0.13906285635351026,0.2394203654172921,year_cluster,300
TREND_STRENGTH_PROXY,calibration_slope,0.00019825288038074484,-0.004009053817019959,0.004873282731383247,year_cluster,300
TREND_STRENGTH_PROXY,top_decile_avg_R,0.038341813955895754,-0.09947793605266361,0.18485584851850734,year_cluster,300
TREND_STRENGTH_PROXY,bottom_decile_avg_R,0.011017369978510359,-0.14279831419815694,0.11890681849425892,year_cluster,300
