market_condition,date_count,date_share,mean_positive_breadth,median_positive_breadth,mean_tsm_return_12_1,mean_cross_sectional_std_tsm_return_12_1
LOW_POSITIVE_BREADTH,202,0.05356669318483161,0.32716954138025095,0.3391304347826087,-0.08443934337479572,0.25763001144039005
MIXED_BREADTH,682,0.18085388491116414,0.5268840737797794,0.541680211296221,0.0365024387500901,0.28218422894831596
HIGH_POSITIVE_BREADTH,2887,0.7655794219040043,0.8002231431048511,0.8162393162393162,0.22009339772176043,0.3089937215591816
