tsm001_state,observations,unique_tickers,first_date,last_date,mean_tsm_return_12_1,median_tsm_return_12_1,p10_tsm_return_12_1,p90_tsm_return_12_1,mean_abs_tsm_return_12_1,median_abs_tsm_return_12_1,mean_adjusted_close,median_adjusted_close,observation_share
NEGATIVE,490268,498,2011-01-03,2025-12-30,-0.15225975843280354,-0.11895097160934989,-0.32773618034960533,-0.019639743223867863,0.15225975843280354,0.11895097160934989,87.88855898549677,49.80300521850586,0.27716921824472535
NEUTRAL,127,67,2011-01-03,2025-12-10,0.0,0.0,0.0,0.0,0.0,0.0,37.21383394218805,18.118438720703125,7.179846679179575e-05
POSITIVE,1278445,499,2011-01-03,2025-12-30,0.2934988940173002,0.2204982002633642,0.04629395101560492,0.5871027618676782,0.2934988940173002,0.2204982002633642,106.63370879798285,59.442176818847656,0.7227589832884829
