date,valid_count,positive_count,negative_count,mean_tsm_return_12_1,median_tsm_return_12_1,cross_sectional_std_tsm_return_12_1,positive_breadth,negative_breadth
2011-01-03,421,333,87,0.20576134091156317,0.1674879710568173,0.3106501537068585,0.7909738717339667,0.20665083135391923
2011-01-04,422,334,88,0.20480506801043513,0.16489334288505658,0.30267681856215367,0.7914691943127962,0.20853080568720378
2011-01-05,422,335,87,0.20053307576045637,0.16418427906936917,0.30386644415509917,0.7938388625592417,0.20616113744075829
2011-01-06,422,329,93,0.19629684381432622,0.15319586368035842,0.30002943333089693,0.7796208530805687,0.22037914691943128
2011-01-07,422,337,85,0.19508754604237746,0.15172009329475175,0.29264108835683056,0.7985781990521327,0.2014218009478673
2011-01-10,422,342,80,0.19695722213600222,0.15022121671291055,0.2959339133019414,0.8104265402843602,0.1895734597156398
2011-01-11,422,349,73,0.2188073879684189,0.16302010873299477,0.30699853281626754,0.8270142180094787,0.17298578199052134
2011-01-12,422,345,77,0.20293877409034816,0.1505000341860194,0.29244866631981026,0.8175355450236966,0.18246445497630331
2011-01-13,422,345,77,0.20187240723261954,0.1542821892126037,0.2889060350869306,0.8175355450236966,0.18246445497630331
2011-01-14,422,349,73,0.2095466673687625,0.15760257502935998,0.29117823031739504,0.8270142180094787,0.17298578199052134
2011-01-18,422,343,79,0.20463163389247277,0.1584257400361718,0.2968884484590959,0.8127962085308057,0.1872037914691943
2011-01-19,422,345,77,0.22142173290522502,0.17392683182864538,0.3031040111659434,0.8175355450236966,0.18246445497630331
2011-01-20,422,355,67,0.2439789101205986,0.20353586364760257,0.30786880699427455,0.8412322274881516,0.15876777251184834
2011-01-21,422,367,55,0.2802350962809168,0.2262533295407853,0.3222963666200309,0.8696682464454977,0.13033175355450238
2011-01-24,422,367,54,0.2775625784198711,0.22846779626571465,0.31923857770548814,0.8696682464454977,0.12796208530805686
2011-01-25,422,367,55,0.2781858727585805,0.2259822716419042,0.3168087088826853,0.8696682464454977,0.13033175355450238
2011-01-26,422,364,58,0.2741831859809235,0.2242778711008265,0.3167174959672164,0.8625592417061612,0.13744075829383887
2011-01-27,422,370,52,0.28753517438294357,0.23728637281909282,0.30847407395570364,0.8767772511848341,0.12322274881516587
2011-01-28,422,374,48,0.30318333584677126,0.2482693445845183,0.3135124781684037,0.8862559241706162,0.11374407582938388
2011-01-31,422,369,53,0.28103086756427653,0.23188814061226876,0.3025164200569704,0.8744075829383886,0.12559241706161137
2011-02-01,422,364,58,0.2621059944105543,0.2178383008532597,0.2948823098292408,0.8625592417061612,0.13744075829383887
2011-02-02,422,366,56,0.2852010190361658,0.23654967849616082,0.30324833134347257,0.8672985781990521,0.13270142180094788
2011-02-03,422,379,43,0.32073069845571645,0.2697367875343809,0.32260335992340206,0.8981042654028436,0.1018957345971564
2011-02-04,422,383,39,0.32474295558653576,0.26595434238923765,0.3293158793649282,0.9075829383886256,0.0924170616113744
2011-02-07,422,388,34,0.33103475238684915,0.27320383843085516,0.32505706392937,0.919431279620853,0.08056872037914692
2011-02-08,422,382,40,0.3133438858263177,0.25658186286771323,0.3181844723253628,0.9052132701421801,0.0947867298578199
2011-02-09,422,384,38,0.31715341939293845,0.25919562575887534,0.3248535734704131,0.909952606635071,0.09004739336492891
2011-02-10,423,386,36,0.3045557404779099,0.254280440009659,0.3097314755003215,0.9125295508274232,0.0851063829787234
2011-02-11,423,394,29,0.3137821321045411,0.2646907996066145,0.3090891404071721,0.9314420803782506,0.06855791962174941
2011-02-14,423,386,37,0.2909143054965184,0.2440657930981613,0.3055179928463366,0.9125295508274232,0.08747044917257683
2011-02-15,423,386,37,0.2955443204874977,0.2484042674060593,0.3093264062771005,0.9125295508274232,0.08747044917257683
2011-02-16,423,385,38,0.2935043479183826,0.241395477439706,0.3101411848561968,0.9101654846335697,0.08983451536643026
2011-02-17,423,379,43,0.2693832747121807,0.2302942571438706,0.2996437977992246,0.8959810874704491,0.1016548463356974
2011-02-18,423,382,41,0.2632309126222447,0.2255939855917883,0.2821466546157714,0.9030732860520094,0.09692671394799054
2011-02-22,423,385,38,0.27830617898760807,0.2429437659184494,0.28548593267623806,0.9101654846335697,0.08983451536643026
2011-02-23,423,385,38,0.2745574518098508,0.2344007811704529,0.2830585609568958,0.9101654846335697,0.08983451536643026
2011-02-24,423,383,40,0.2761915196884948,0.2401515556038478,0.28212739519533214,0.9054373522458629,0.09456264775413711
2011-02-25,423,380,43,0.2843900530404952,0.2497100385690327,0.2882737168681518,0.8983451536643026,0.1016548463356974
2011-02-28,423,382,41,0.27414376588574996,0.2438334954170951,0.2857950629522976,0.9030732860520094,0.09692671394799054
2011-03-01,423,371,52,0.24259225675448498,0.2143181953117265,0.2758192150226165,0.8770685579196218,0.12293144208037825
2011-03-02,423,370,53,0.25138308201040815,0.2206782129683928,0.2805880376683451,0.8747044917257684,0.12529550827423167
2011-03-03,423,376,47,0.26684690557286245,0.2416503528571538,0.2860126850879015,0.8888888888888888,0.1111111111111111
2011-03-04,423,370,53,0.24500145480929014,0.2194317389825308,0.2807740188828409,0.8747044917257684,0.12529550827423167
2011-03-07,423,371,52,0.24791572643131665,0.224396006251011,0.2845460884007824,0.8770685579196218,0.12293144208037825
2011-03-08,423,374,49,0.25114942529250517,0.2192766041647498,0.2866578557131585,0.8841607565011821,0.11583924349881797
2011-03-09,423,374,49,0.2511464349898092,0.2226110061113215,0.283425103128031,0.8841607565011821,0.11583924349881797
2011-03-10,423,374,49,0.2532559260897788,0.2185074535768423,0.28710036883378454,0.8841607565011821,0.11583924349881797
2011-03-11,423,373,50,0.25091653708041733,0.2159857134846456,0.2885808790674345,0.8817966903073287,0.1182033096926714
2011-03-14,423,370,53,0.257334290028975,0.2171619677253944,0.2982223902834947,0.8747044917257684,0.12529550827423167
2011-03-15,423,368,55,0.25423628064389975,0.2151713194785478,0.3000203457052772,0.8699763593380615,0.13002364066193853
2011-03-16,423,366,57,0.2484317652106071,0.2031683346700954,0.31041579785558293,0.8652482269503546,0.1347517730496454
2011-03-17,423,361,61,0.24588377832502767,0.1994349633573322,0.30636067553361307,0.8534278959810875,0.14420803782505912
2011-03-18,423,371,52,0.2629326994942277,0.2117490693764945,0.31359839340014045,0.8770685579196218,0.12293144208037825
2011-03-21,423,373,50,0.2559032437938009,0.2109000014029856,0.30653885653807167,0.8817966903073287,0.1182033096926714
2011-03-22,423,367,56,0.24932492073249904,0.2062568308104235,0.2959248525762083,0.8676122931442081,0.13238770685579196
2011-03-23,423,363,60,0.22709511427874368,0.1991155330238005,0.2831315621255209,0.8581560283687943,0.14184397163120568
2011-03-24,423,351,72,0.21640043840107742,0.1876675082267194,0.27510068240647595,0.8297872340425532,0.1702127659574468
2011-03-25,423,353,70,0.21945194629982212,0.1960159756029598,0.2783142918789533,0.83451536643026,0.16548463356973994
2011-03-28,423,355,68,0.22905222038678597,0.2025563052941492,0.28262277082109094,0.8392434988179669,0.1607565011820331
2011-03-29,423,355,68,0.23104417411685596,0.2041354021765031,0.27266508824273006,0.8392434988179669,0.1607565011820331
2011-03-30,423,348,75,0.21658197202478682,0.1878827332222585,0.2679895025815948,0.8226950354609929,0.1773049645390071
2011-03-31,423,348,75,0.2121809119018623,0.1830338153534736,0.27072834744535657,0.8226950354609929,0.1773049645390071
2011-04-01,423,352,71,0.22074719322182962,0.1915481371727947,0.26839676104934185,0.8321513002364066,0.16784869976359337
2011-04-04,423,348,75,0.21038680683986202,0.1757049716530143,0.2684820401109399,0.8226950354609929,0.1773049645390071
2011-04-05,423,346,77,0.20471919176671893,0.1776281926483414,0.2628629679655267,0.817966903073286,0.18203309692671396
2011-04-06,423,352,71,0.21641639067908758,0.1886259646005956,0.2595891137431788,0.8321513002364066,0.16784869976359337
2011-04-07,423,351,72,0.20477338402078527,0.1862912191549013,0.2512602622214589,0.8297872340425532,0.1702127659574468
2011-04-08,423,337,86,0.18054618194716268,0.1620867052110419,0.24808633728569085,0.7966903073286052,0.2033096926713948
2011-04-11,423,340,83,0.1870607122833434,0.1689515320587034,0.24984295026489342,0.8037825059101655,0.19621749408983452
2011-04-12,423,329,94,0.16421986892306947,0.1453270209911121,0.24669957343695842,0.7777777777777778,0.2222222222222222
2011-04-13,423,318,105,0.1532582737042796,0.1378504144090313,0.24685810060585703,0.75177304964539,0.24822695035460993
2011-04-14,423,318,104,0.15139387672950053,0.1319820201787092,0.24730732362858338,0.75177304964539,0.2458628841607565
2011-04-15,423,321,102,0.16178276981078923,0.1379180763502228,0.25194468867200054,0.7588652482269503,0.24113475177304963
2011-04-18,423,324,99,0.15459519336595398,0.1361189285517057,0.2456314260730938,0.7659574468085106,0.23404255319148937
2011-04-19,423,332,91,0.1713952951261198,0.1505658773320306,0.2548525294833083,0.7848699763593381,0.21513002364066194
2011-04-20,423,326,97,0.15462914199614028,0.1389517386314709,0.23783203417137375,0.7706855791962175,0.2293144208037825
2011-04-21,423,319,104,0.14815271841463123,0.135558288281288,0.23608697787933233,0.7541371158392435,0.2458628841607565
2011-04-25,423,331,92,0.16358750774358988,0.14568026789156,0.23672542558891843,0.7825059101654847,0.21749408983451538
2011-04-26,423,352,71,0.196735935814639,0.1767941378940203,0.2458895614590657,0.8321513002364066,0.16784869976359337
2011-04-27,424,348,76,0.19105091753290002,0.17158353814433555,0.2491584341483319,0.8207547169811321,0.1792452830188679
2011-04-28,424,336,87,0.17935038865583292,0.1512814573443127,0.2450134700656704,0.7924528301886793,0.20518867924528303
2011-04-29,424,355,69,0.2114918925170473,0.18626733164187076,0.25554255400417397,0.8372641509433962,0.16273584905660377
2011-05-02,424,346,78,0.19232560248903124,0.16527426211408364,0.24765368975109173,0.8160377358490566,0.18396226415094338
2011-05-03,424,365,59,0.23256010302465582,0.19773951361092265,0.25884397243076557,0.8608490566037735,0.1391509433962264
2011-05-04,424,364,60,0.2456589344018866,0.21511471350384664,0.2671220325272287,0.8584905660377359,0.14150943396226415
2011-05-05,424,385,39,0.2861709728671468,0.24824028674740056,0.27937754968028866,0.9080188679245284,0.09198113207547169
2011-05-06,424,391,33,0.315905135132407,0.27653625330802745,0.28677647487556823,0.9221698113207547,0.07783018867924528
2011-05-09,424,369,55,0.2503391638509836,0.2113566748723604,0.26569129308951084,0.8702830188679245,0.12971698113207547
2011-05-10,424,371,53,0.242408886824307,0.20063693358143594,0.26141191865942776,0.875,0.125
2011-05-11,424,364,60,0.21488868064741984,0.17930149296007875,0.24688165182715885,0.8584905660377359,0.14150943396226415
2011-05-12,424,368,56,0.21975061630509193,0.183986139876467,0.24391256197502706,0.8679245283018868,0.1320754716981132
2011-05-13,424,379,45,0.24930437558742471,0.2147808446327294,0.2608234507224427,0.8938679245283019,0.10613207547169812
2011-05-16,424,377,47,0.2466630892758299,0.2142287393938303,0.26109610877805456,0.8891509433962265,0.11084905660377359
2011-05-17,424,389,35,0.2732721538987206,0.233575479818593,0.2667523976798949,0.9174528301886793,0.08254716981132075
2011-05-18,424,386,38,0.2669145662958171,0.22607062118150628,0.2676436932529964,0.910377358490566,0.08962264150943396
2011-05-19,424,400,24,0.32674090423597746,0.2868075146932555,0.2878173139620613,0.9433962264150944,0.05660377358490566
2011-05-20,424,397,27,0.3260775294136345,0.28234049489545177,0.28611243870696595,0.9363207547169812,0.06367924528301887
2011-05-23,424,404,20,0.34999901275329554,0.31134052223496533,0.29372888308285294,0.9528301886792453,0.04716981132075472
2011-05-24,424,402,22,0.34873839856666417,0.3083710386626707,0.2949110445490799,0.9481132075471698,0.05188679245283019
2011-05-25,424,405,19,0.36153987688477934,0.3228381555582831,0.28850467920067635,0.9551886792452831,0.04481132075471698
2011-05-26,424,399,25,0.3236995043024538,0.2830829271636932,0.27958668368373835,0.9410377358490566,0.0589622641509434
2011-05-27,424,403,21,0.34371195066670596,0.2999050588151033,0.2846764164482462,0.9504716981132075,0.049528301886792456
2011-05-31,424,406,18,0.37450990091341946,0.33061801275459946,0.2974746329407882,0.9575471698113207,0.04245283018867924
2011-06-01,424,398,26,0.33559514343847824,0.2993165352324165,0.2842125202652603,0.9386792452830188,0.06132075471698113
2011-06-02,424,397,27,0.31881657168725547,0.29430748747788793,0.2732633164759313,0.9363207547169812,0.06367924528301887
2011-06-03,424,401,23,0.36040992270813804,0.33602738806559607,0.2791116161217849,0.9457547169811321,0.054245283018867926
2011-06-06,424,405,19,0.3797663736977386,0.34882336732990327,0.2888323453127488,0.9551886792452831,0.04481132075471698
2011-06-07,424,402,22,0.3751704182641288,0.34045150778535993,0.2945704444087567,0.9481132075471698,0.05188679245283019
2011-06-08,424,405,19,0.3850390970213903,0.3451184853630279,0.30096623550927637,0.9551886792452831,0.04481132075471698
2011-06-09,424,401,23,0.35659876429465187,0.3132568067796131,0.29210613861740514,0.9457547169811321,0.054245283018867926
2011-06-10,424,396,28,0.3308391476083943,0.29079937186973814,0.27799865197316753,0.9339622641509434,0.0660377358490566
2011-06-13,424,398,26,0.3370642337523675,0.30120268057930544,0.27622083895478194,0.9386792452830188,0.06132075471698113
2011-06-14,425,389,36,0.2919137076801567,0.2558427274902162,0.26564552652407813,0.9152941176470588,0.08470588235294117
2011-06-15,425,392,33,0.2843380834444181,0.2567620490247859,0.256067399654029,0.9223529411764706,0.07764705882352942
2011-06-16,425,391,34,0.28067779987668057,0.2481211029301167,0.2553616025374117,0.92,0.08
2011-06-17,425,393,32,0.2960209645375993,0.2599032256235731,0.2646852989803789,0.9247058823529412,0.07529411764705882
2011-06-20,425,392,33,0.305692660158966,0.2727687647282744,0.2681620103383244,0.9223529411764706,0.07764705882352942
2011-06-21,425,396,29,0.32204108542437215,0.2891730229225724,0.27193362451764475,0.9317647058823529,0.06823529411764706
2011-06-22,425,391,34,0.30565658362952736,0.2736848909192888,0.26651250880300786,0.92,0.08
2011-06-23,425,397,27,0.3248565834376826,0.2833118214864263,0.27154433105047926,0.9341176470588235,0.06352941176470588
2011-06-24,425,397,28,0.3195587816458561,0.2823462662000264,0.27597861144905567,0.9341176470588235,0.06588235294117648
2011-06-27,425,397,28,0.331624187824514,0.2904251434875688,0.28273250011504114,0.9341176470588235,0.06588235294117648
2011-06-28,426,408,18,0.3864177925787455,0.3379770370630578,0.30016284239090024,0.9577464788732394,0.04225352112676056
2011-06-29,426,411,15,0.4138948153469169,0.35992674492888016,0.3103746557113257,0.9647887323943662,0.035211267605633804
2011-06-30,426,407,19,0.3855705530176631,0.3417178304060663,0.30717142430603467,0.9553990610328639,0.04460093896713615
2011-07-01,426,407,19,0.39323349999068474,0.34557256183933965,0.3085948631591567,0.9553990610328639,0.04460093896713615
2011-07-05,426,404,22,0.3773650257649798,0.32467181865755446,0.3098178279610048,0.9483568075117371,0.051643192488262914
2011-07-06,426,389,37,0.3185227787025087,0.27986900837077605,0.2900476799129037,0.9131455399061033,0.08685446009389672
2011-07-07,426,386,40,0.3084668391096993,0.270996215599515,0.28511804423990617,0.9061032863849765,0.09389671361502347
2011-07-08,426,383,43,0.2864385357556844,0.25587114797528165,0.276755656825247,0.8990610328638498,0.10093896713615023
2011-07-11,426,384,42,0.29905002093052163,0.27217271973017054,0.2833984446339982,0.9014084507042254,0.09859154929577464
2011-07-12,426,377,49,0.2531673820032399,0.2224055366923369,0.26668650063211874,0.8849765258215962,0.11502347417840375
2011-07-13,426,379,47,0.25277083529701017,0.222969628610641,0.2611862784358746,0.8896713615023474,0.11032863849765258
2011-07-14,427,385,42,0.27342696654191034,0.2433774817281895,0.2683796409408711,0.9016393442622951,0.09836065573770492
2011-07-15,427,393,34,0.2895959786216632,0.2496473422751843,0.27039163785002757,0.9203747072599532,0.07962529274004684
