date,opt001_vix_close,opt001_zscore_252d,opt001_percentile_252d,opt001_data_quality_flag
2020-03-16,82.69,7.637808759826449,1.0,OK
2008-11-20,80.86,3.5450886258663545,1.0,OK
2008-10-27,80.06,4.909934437685022,1.0,OK
2008-10-24,79.13,5.093224699858858,1.0,OK
2020-03-18,76.45,5.854943117105562,0.996031746031746,OK
2020-03-17,75.91,6.26831519877545,0.996031746031746,OK
2020-03-12,75.47,8.326319272589402,1.0,OK
2008-11-19,74.26,3.186293328144941,0.992063492063492,OK
2008-11-21,72.67,2.9182312765536764,0.984126984126984,OK
2020-03-19,72.0,5.105067268911832,0.984126984126984,OK
2008-10-17,70.33,5.136921572312978,1.0,OK
2008-10-29,69.96,3.740696106996534,0.988095238095238,OK
2008-10-10,69.95,6.632213441291404,1.0,OK
2008-10-22,69.65,4.619387735218137,0.992063492063492,OK
2008-10-15,69.25,5.635700347346464,0.996031746031746,OK
2008-11-17,69.15,2.955927007770579,0.9722222222222222,OK
2008-12-01,68.51,2.482176057620561,0.9563492063492064,OK
2008-10-23,67.8,4.24563369387799,0.984126984126984,OK
2008-11-18,67.64,2.7892732374119045,0.9642857142857144,OK
2008-10-16,67.61,5.118973304105316,0.992063492063492,OK
2008-10-28,66.96,3.596464311234921,0.9682539682539684,OK
2008-11-12,66.46,2.920890355586542,0.9603174603174603,OK
2008-11-14,66.31,2.809766265682074,0.9563492063492064,OK
2020-03-20,66.04,4.353658174069039,0.98015873015873,OK
2020-03-27,65.54,3.677985754029529,0.9761904761904762,OK
