year,rows,raw_valid_observations,ok_observations,mean_vix,median_vix,p95_vix,mean_zscore,mean_percentile,pct_ok
1990,260,253,2,23.063478260869562,22.57,30.766,0.5593380795808018,0.7142857142857142,0.007692307692307693
1991,261,252,252,18.373373015873018,17.43,25.120499999999993,-0.6470490541304784,0.3044138951877047,0.9655172413793104
1992,262,254,254,15.452047244094487,15.36,18.96,-0.6982571278832723,0.31420291213598295,0.9694656488549618
1993,261,253,253,12.686245059288536,12.43,14.989999999999998,-0.5883459745322304,0.3217422673944413,0.9693486590038314
1994,260,252,252,13.925515873015875,13.86,16.9935,0.44943238575262073,0.6210474930713026,0.9692307692307692
1995,260,252,252,12.388769841269841,12.295,14.2445,-0.4540349745287938,0.3957624716553287,0.9692307692307692
1996,262,254,254,16.44216535433071,16.244999999999997,20.1035,1.200792830381364,0.7853315210598675,0.9694656488549618
1997,261,251,251,22.363984063745022,20.95,31.835,1.4217328317629179,0.8470246000126478,0.9616858237547893
1998,261,252,252,25.602976190476195,23.145,40.337999999999994,0.2637502616355159,0.5613898337112623,0.9655172413793104
1999,261,252,252,24.37297619047619,24.104999999999997,29.659,-0.45897350286333116,0.3746456916099773,0.9655172413793104
2000,260,252,252,23.314999999999998,23.240000000000002,28.819999999999997,-0.030498345094455138,0.4852371504157218,0.9692307692307692
2001,261,248,248,25.74967741935484,24.26,34.908,0.3511701337870215,0.5789490527393752,0.9501915708812261
2002,261,252,252,27.29246031746032,26.39,39.6845,0.2223841158725374,0.5443279163517258,0.9655172413793104
2003,261,252,252,21.982857142857146,19.855,32.267999999999994,-0.8983857655284009,0.22233245149911812,0.9655172413793104
2004,262,253,253,15.478656126482212,15.32,18.906,-0.9684771560075552,0.20131438609699473,0.9656488549618321
2005,260,252,252,12.807063492063493,12.52,15.586,-0.5850380489732301,0.32023966994205083,0.9692307692307692
2006,260,251,251,12.806533864541834,12.0,17.729999999999997,0.015552880095934274,0.4526339088092076,0.9653846153846154
2007,261,251,251,17.535936254980083,16.43,26.485,0.9763613359786465,0.7193606526275849,0.9616858237547893
2008,262,253,253,32.694861660079056,25.1,67.704,1.1022945848894299,0.6883195307108351,0.9656488549618321
2009,261,252,252,31.479007936507937,28.57,47.4115,-0.5196588185755957,0.3206569664902998,0.9655172413793104
2010,261,252,252,22.548888888888893,21.72,33.7135,-0.28567279828400854,0.38850308641975306,0.9655172413793104
2011,260,252,252,24.202579365079366,20.715,39.009,0.381853073897186,0.5271793902746283,0.9692307692307692
2012,261,250,250,17.79888,17.515,22.302999999999997,-0.7099169195035272,0.28128571428571425,0.9578544061302682
2013,261,252,252,14.230119047619047,13.745000000000001,17.373499999999996,-0.5471651865560578,0.33201845553036025,0.9655172413793104
2014,261,252,252,14.175992063492066,13.67,19.307999999999996,-0.036144855597757056,0.46858465608465605,0.9655172413793104
2015,261,252,252,16.674126984126982,15.315,25.807999999999996,0.37278659546982623,0.620000314940791,0.9655172413793104
2016,261,252,252,15.82563492063492,14.31,24.61049999999999,-0.323756890547482,0.38941641471403377,0.9655172413793104
2017,260,251,251,11.0902390438247,10.85,14.205,-0.7667975456274798,0.215692784417884,0.9653846153846154
2018,261,251,251,16.639840637450202,15.49,25.58,0.8338539386597504,0.7326487699993676,0.9616858237547893
2019,261,252,252,15.387857142857142,14.865,20.293499999999998,-0.31393135851737886,0.4249259889140841,0.9655172413793104
2020,262,253,253,29.251304347826085,26.7,57.068,0.7123761957486708,0.6363008971704625,0.9656488549618321
2021,261,252,252,19.65615079365079,18.685000000000002,27.1845,-0.757338838766942,0.2458270345175107,0.9655172413793104
2022,260,256,256,25.637148437500002,25.549999999999997,32.57,0.6842182257901894,0.6735103546626984,0.9846153846153847
2023,260,257,257,16.849027237354086,16.93,22.266000000000002,-1.1403315502629412,0.15942498919152612,0.9884615384615385
2024,262,259,259,15.55065637065637,14.6,21.33,0.08423614326770541,0.5144940859226573,0.9885496183206107
2025,261,258,258,18.926666666666666,17.21,28.62999999999997,0.21484616367237316,0.5542328042328042,0.9885057471264368
2026,149,147,147,19.036462585034016,18.02,26.590999999999994,0.06275870418885106,0.5785282366915019,0.9865771812080537
