month,valid_industries,formation_return_mean,formation_return_std,formation_return_spread_p90_p10,top_decile_count,bottom_decile_count
1927-07-31,40,0.2208638803722433,0.26006243138019053,0.5346755907187054,4,4
1927-08-31,40,0.16586117720182994,0.21573627303618528,0.49148223575470795,4,4
1927-09-30,40,0.19571722971920114,0.22978794919091938,0.5437261491912675,4,4
1927-10-31,40,0.2273102283724712,0.22776171635309284,0.5304942651313626,4,4
1927-11-30,40,0.33462125121201336,0.27015257073909715,0.6858906345250496,4,4
1927-12-31,40,0.25384764304617174,0.24042411524478582,0.5611003610099372,4,4
1928-01-31,40,0.3234217447727124,0.26095536618300486,0.5167475581733489,4,4
1928-02-29,40,0.38587237266533814,0.3337747443523125,0.5687303694247448,4,4
1928-03-31,40,0.3366596281582419,0.34664565890732696,0.5258019143482907,4,4
1928-04-30,40,0.3172385784141499,0.3042247915891486,0.5803844945567515,4,4
1928-05-31,40,0.4298596941136559,0.4171873183238583,0.6374093332292912,4,4
1928-06-30,40,0.4275547186394396,0.5156101270069656,0.5656699663628096,4,4
1928-07-31,41,0.4843495867976937,0.5318065438744596,0.6316620271453965,5,5
1928-08-31,41,0.3146622093605616,0.48236732208649696,0.4873096775342435,5,5
1928-09-30,41,0.2836094499227532,0.37531189208052146,0.5299603343298103,5,5
1928-10-31,41,0.30346824910688835,0.37011004270905506,0.5812547880615582,5,5
1928-11-30,41,0.386403070944651,0.4930698222719144,0.5214350873368047,5,5
1928-12-31,41,0.2990923258483215,0.37137073908950025,0.5369600216165831,5,5
1929-01-31,41,0.3781303836756817,0.3804513132020845,0.5539047641433419,5,5
1929-02-28,41,0.36781467588474887,0.39062858328098504,0.6281423000252179,5,5
1929-03-31,41,0.47525892373321765,0.4677447862292921,0.679694179607794,5,5
1929-04-30,41,0.3473715972792002,0.37217215514276825,0.6606643465114952,5,5
1929-05-31,41,0.2400014536024717,0.2754675712699563,0.7126153177360284,5,5
1929-06-30,41,0.22608994383488878,0.28083218615491246,0.7118433867592592,5,5
1929-07-31,41,0.2122291032353578,0.2767370675965782,0.650063808131176,5,5
1929-08-31,41,0.31084445675789274,0.33837339995596594,0.7404750734012958,5,5
1929-09-30,41,0.27788550384114435,0.32948328594243215,0.6690006163522513,5,5
1929-10-31,41,0.314481042325584,0.37136737083398136,0.8395960675431534,5,5
1929-11-30,41,0.2562990705697318,0.36504557425642326,0.8378605569064472,5,5
1929-12-31,41,-0.08261621865531064,0.23975082154985308,0.6192067329663002,5,5
1930-01-31,41,-0.19866276395268717,0.20951603911250355,0.5666642455171518,5,5
1930-02-28,41,-0.23594260598836198,0.1995166331786739,0.5006669739853671,5,5
1930-03-31,41,-0.19467598757095897,0.19769931373358493,0.524539075274184,5,5
1930-04-30,41,-0.1427400124642079,0.21232801452440428,0.5659550564058299,5,5
1930-05-31,41,-0.11792568144594652,0.2156763963328469,0.5397769088804812,5,5
1930-06-30,41,-0.08119835989653626,0.2216985611673346,0.5535389950668599,5,5
1930-07-31,42,-0.18543904890361082,0.20893226937412118,0.5231534504049903,5,5
1930-08-31,42,-0.3464241963408322,0.20569154493243885,0.4961447459983546,5,5
1930-09-30,42,-0.35144150530608875,0.1874690257899206,0.4279957118237175,5,5
1930-10-31,42,-0.32747203070229186,0.19382275623004414,0.4474185516990529,5,5
1930-11-30,42,-0.2749317700285589,0.17516268394021065,0.4332545438395557,5,5
1930-12-31,42,-0.24690182391520116,0.16866172318229217,0.4449928568370452,5,5
1931-01-31,42,-0.26551251396410763,0.156418106745472,0.38564850034108417,5,5
1931-02-28,42,-0.3654513989647342,0.16552321493192745,0.38124958776780304,5,5
1931-03-31,42,-0.3391907751973105,0.14921721416318953,0.36675430956532207,5,5
1931-04-30,42,-0.2988161389982393,0.15671278471680247,0.2960428775614266,5,5
1931-05-31,42,-0.30175312875310806,0.20424673315326458,0.3510740206322007,5,5
1931-06-30,42,-0.3556543271654994,0.2105837106694976,0.36282644691752364,5,5
1931-07-31,43,-0.3168414236163044,0.24929860430228845,0.341435978468514,5,5
1931-08-31,43,-0.2600527283208429,0.28469515005246626,0.3634273003534777,5,5
1931-09-30,43,-0.31246711636982105,0.29236540805965266,0.399863025593377,5,5
1931-10-31,43,-0.21693242187357764,0.27276041748141533,0.4112823143650992,5,5
1931-11-30,43,-0.39129304014721655,0.2444697209075843,0.3410812186479618,5,5
1931-12-31,43,-0.3334088791695294,0.23815245684567102,0.379599069946373,5,5
1932-01-31,43,-0.3312066609029847,0.2550261369755288,0.4310463917749612,5,5
1932-02-29,43,-0.47801981772901403,0.1911142684673952,0.40579143118416794,5,5
1932-03-31,43,-0.5347130525345276,0.16604292848586724,0.40435167565961516,5,5
1932-04-30,43,-0.4984883105647831,0.1474891083158737,0.3698522271372675,5,5
1932-05-31,43,-0.4954679399681124,0.14738623096890252,0.38011370674468803,5,5
1932-06-30,43,-0.5262307597337383,0.14094919350237586,0.35213915838257676,5,5
1932-07-31,43,-0.6777603200136725,0.12224269912699781,0.3197363716519545,5,5
1932-08-31,43,-0.6548812487704572,0.1350897791385494,0.33265139420782447,5,5
1932-09-30,43,-0.5494311144963936,0.137201788648346,0.3219363034795279,5,5
1932-10-31,43,-0.08357343011938573,0.21643272322201654,0.542945843676401,5,5
1932-11-30,43,-0.19293712915901481,0.17587246846168544,0.47264629879073883,5,5
1932-12-31,43,-0.24417123911943261,0.1636774872540131,0.41731551137029615,5,5
1933-01-31,43,-0.15544620235011045,0.1602542630366266,0.42660020068618265,5,5
1933-02-28,43,-0.15858450549648506,0.20593314188029246,0.5901720701114226,5,5
1933-03-31,43,-0.18000500144449816,0.19697046766336473,0.5230965928389386,5,5
