artifact_label,relative_path,columns,sample_rows_loaded
csm_state,output/csm_001_cv001/csm001_construct_state.csv,date|ticker|adjusted_close|price_t_minus_21|price_t_minus_252|return_12_1|csm001_rank|csm001_eligible_count|csm001_momentum_score|csm001_top_decile_flag|csm001_valid_observation,5
csm_price_panel,output/csm_001_cv001/adjusted_close_panel.csv,Date|A|AAPL|ABBV|ABNB|ABT|ACGL|ACN|ADBE|ADI|ADM|ADP|ADSK|AEE|AEP|AES|AFL|AIG|AIZ|AJG|AKAM|ALB|ALGN|ALL|ALLE|AMAT|AMCR|AMD|AME|AMGN|AMP|AMT|AMZN|ANET|AON|AOS|APA|APD|APH|APO|APP|APTV|ARE|ARES|ATO|AVB|AVGO|AVY|AWK|AXON|AXP|AZO|BA|BAC|BALL|BAX|BBY|BDX|BEN|BF.B|BG|BIIB|BKNG|BKR|BLDR|BLK|BMY|BNY|BR|BRK.B|BRO|BSX|BX|BXP|C|CAH|CARR|CASY|CAT|CB|CBOE|CBRE|CCI|CCL|CDNS|CDW|CEG|CF|CFG|CHD|CHRW|CHTR|CI|CIEN|CINF|CL|CLX|CMCSA|CME|CMG|CMI|CMS|CNC|CNP|COF|COHR|COIN|COO|COP|COR|COST|CPAY|CPRT|CPT|CRH|CRL|CRM|CRWD|CSCO|CSGP|CSX|CTAS|CTSH|CTVA|CVNA|CVS|CVX|D|DAL|DASH|DD|DDOG|DE|DECK|DELL|DG|DGX|DHI|DHR|DIS|DLR|DLTR|DOC|DOV|DOW|DPZ|DRI|DTE|DUK|DVA|DVN|DXCM|EA|EBAY|ECHO|ECL|ED|EFX|EG|EIX|EL|ELV|EME|EMR|EOG|EQIX|EQR|EQT|ERIE|ES|ESS|ETN|ETR|EVRG|EW|EXC|EXE|EXPD|EXPE|EXR|F|FANG|FAST|FCX|FDS|FDX|FDXF|FE|FFIV|FICO|FIS|FISV|FITB|FIX|FLEX|FOX|FOXA|FRT|FSLR|FTNT|FTV|GD|GDDY|GE|GEHC|GEN|GEV|GILD|GIS|GL|GLW|GM|GNRC|GOOG|GOOGL|GPC|GPN|GRMN|GS|GWW|HAL|HAS|HBAN|HCA|HD|HIG|HII|HLT|HON|HONA|HOOD|HPE|HPQ|HRL|HSIC|HST|HSY|HUBB|HUM|HWM|IBKR|IBM|ICE|IDXX|IEX|IFF|INCY|INTC|INTU|INVH|IP|IQV|IR|IRM|ISRG|IT|ITW|IVZ|J|JBHT|JBL|JCI|JKHY|JNJ|JPM|KDP|KEY|KEYS|KHC|KIM|KKR|KLAC|KMB|KMI|KO|KR|KVUE|L|LDOS|LEN|LH|LHX|LII|LIN|LITE|LLY|LMT|LNT|LOW|LRCX|LULU|LUV|LVS|LYB|LYV|MA|MAA|MAR|MAS|MCD|MCHP|MCK|MCO|MDLZ|MDT|MET|META|MGM|MKC|MLM|MMM|MNST|MO|MOS|MPC|MPWR|MRK|MRNA|MRSH|MRVL|MS|MSCI|MSFT|MSI|MTB|MTD|MU|NCLH|NDAQ|NDSN|NEE|NEM|NFLX|NI|NKE|NOC|NOW|NRG|NSC|NTAP|NTRS|NUE|NVDA|NVR|NWS|NWSA|NXPI|O|ODFL|OKE|OMC|ON|ORCL|ORLY|OTIS|OXY|PANW|PAYX|PCAR|PCG|PEG|PEP|PFE|PFG|PG|PGR|PH|PHM|PKG|PLD|PLTR|PM|PNC|PNR|PNW|PODD|PPG|PPL|PRU|PSA|PSKY|PSX|PTC|PWR|PYPL|Q|QCOM|RCL|REG|REGN|RF|RJF|RL|RMD|ROK|ROL|ROP|ROST|RSG|RTX|RVTY|SBAC|SBUX|SCHW|SHW|SJM|SLB|SMCI|SNA|SNDK|SNPS|SO|SOLV|SPG|SPGI|SRE|STE|STLD|STT|STX|STZ|SW|SWK|SWKS|SYF|SYK|SYY|T|TAP|TDG|TDY|TECH|TEL|TER|TFC|TGT|TJX|TKO|TMO|TMUS|TPL|TPR|TRGP|TRMB|TROW|TRV|TSCO|TSLA|TSN|TT|TTD|TTWO|TXN|TXT|TYL|UAL|UBER|UDR|UHS|ULTA|UNH|UNP|UPS|URI|USB|V|VEEV|VICI|VLO|VLTO|VMC|VRSK|VRSN|VRT|VRTX|VST|VTR|VTRS|VZ|WAB|WAT|WBD|WDAY|WDC|WEC|WELL|WFC|WM|WMB|WMT|WRB|WSM|WST|WTW|WY|WYNN|XEL|XOM|XYL|XYZ|YUM|ZBH|ZBRA|ZTS,5
tsm_state,output/tsm_001_cv001/tsm001_construct_state.csv,date|ticker|adjusted_close|price_t_minus_21|price_t_minus_252|tsm_return_12_1|tsm001_direction_score|tsm001_state|tsm001_positive_state|tsm001_negative_state|tsm001_valid_observation,5
wpc002_returns,research/market_edge_discovery_program/wpc_002_workflow_portfolio_construction_validation/portfolio_return_series.csv,period|signal_date|entry_date|exit_date|portfolio_group|holding_count|valid_return_count|portfolio_return|cash_period,5
wpc002_comparison,research/market_edge_discovery_program/wpc_002_workflow_portfolio_construction_validation/gross_benchmark_comparison.csv,periods|workflow_mean_return|benchmark_mean_return|mean_spread|positive_spread_rate|workflow_compound_return|benchmark_compound_return,1
