family,family_jaccard,family_precision,family_recall,best_comparator,delta_jaccard_vs_composite,delta_precision_vs_composite,delta_recall_vs_composite,relative_rank,ablation_interpretation
Composite,0.3410911512074617,34.44274663355936,97.23854922726832,COMPOSITE_TREND_SCORE,0.0,0.0,0.0,1,COMPARABLE_TO_COMPOSITE
Strength,0.3315929246753637,33.722471588195965,95.2050731749404,TREND_MAGNITUDE_60,-0.009498226532097975,-0.7202750453633939,-2.033476052327927,2,COMPARABLE_TO_COMPOSITE
Smoothness,0.2386870891038598,26.09473784738802,73.67050246432923,TREND_EFFICIENCY_60,-0.1024040621036019,-8.348008786171338,-23.56804676293909,3,WEAKER_THAN_COMPOSITE
Persistence,0.20581016578246,23.496323178301974,62.38842455471254,MULTI_HORIZON_AGREEMENT,-0.1352809854250017,-10.946423455257385,-34.85012467255578,4,WEAKER_THAN_COMPOSITE
Direction,0.1685926319868601,19.86037627733741,52.73410557065768,EMA50_GT_EMA200,-0.1724985192206016,-14.58237035622195,-44.50444365661064,5,WEAKER_THAN_COMPOSITE
