date,aggregate_illiquidity,liq001_illiquidity_20d,liq001_zscore,eligible_count,coverage_ratio
2020-03-16,4.1293938030213237e-10,1.4024821884432654e-10,7.118486418187932,57,0.9661016949152542
2020-03-17,2.4688817695940367e-10,1.5085908586073762e-10,7.088103660899554,57,0.9661016949152542
2020-03-18,1.5145242120188126e-10,1.5585869864873467e-10,6.718416160627007,57,0.9661016949152542
2020-03-19,1.1952750665805526e-10,1.6019051693382938e-10,6.38181770821518,57,0.9661016949152542
2020-03-20,2.5156157289155983e-10,1.7077061032482754e-10,6.378777039527415,57,0.9661016949152542
2020-03-13,2.3759740579161713e-10,1.2149050465964608e-10,6.366405920116016,57,0.9661016949152542
2020-03-12,3.2568119602559576e-10,1.1158172245083108e-10,6.034903331429612,57,0.9661016949152542
2020-03-24,3.3047262218939833e-10,1.8112771652312223e-10,5.919561120890542,57,0.9661016949152542
2020-03-23,1.356371173352239e-10,1.7108615023390718e-10,5.912100278710546,57,0.9661016949152542
2020-03-25,9.34713736920306e-11,1.8460962273846347e-10,5.656413377729433,57,0.9661016949152542
2020-03-26,2.0948123895107235e-10,1.8800165569019436e-10,5.42910889891285,57,0.9661016949152542
2020-03-27,1.4438716004462734e-10,1.9294354814175667e-10,5.284292040984661,57,0.9661016949152542
2020-03-11,2.186512252601398e-10,9.806369962772103e-11,5.171832212743678,57,0.9661016949152542
2020-03-30,1.5206340603465298e-10,1.926452863646568e-10,4.985815666777383,57,0.9661016949152542
2020-03-31,1.1152758286544766e-10,1.9367797862877757e-10,4.770716668141947,57,0.9661016949152542
2020-04-01,2.63082218200912e-10,1.9790100449045634e-10,4.677317471393981,57,0.9661016949152542
2020-03-10,1.33502651353066e-10,8.92529570118691e-11,4.544565361029418,57,0.9661016949152542
2020-04-02,7.958832609673926e-11,1.960440725234345e-10,4.41609017988365,57,0.9661016949152542
2011-08-29,3.3735154013023965e-10,1.7783958800082702e-10,4.376955275006338,51,0.864406779661017
2020-04-03,1.047822113185283e-10,1.9762805244997662e-10,4.28244231126034,57,0.9661016949152542
