year,rows,eligible_count_mean,eligible_count_min,coverage_ratio_mean,aggregate_illiquidity_median,aggregate_illiquidity_p95,zscore_mean,zscore_p95,zscore_max
2010,251,50.0,50,0.847457627118644,7.493499910644003e-11,2.1499717693450149e-10,,,
2011,252,50.87301587301587,50,0.8622545063223029,8.595624718361504e-11,2.586315237139319e-10,0.6919754094227644,3.438849763001844,4.376955275006338
2012,250,52.04,52,0.8820338983050847,7.917791176971735e-11,1.8268817410400665e-10,-0.5823029861866742,0.2532216376084525,0.756241126409282
2013,252,53.66269841269841,52,0.9095372612321765,6.935690653449918e-11,1.2807184763710398e-10,-0.6110342612323015,0.5290823510032818,1.1046848966675795
2014,252,55.392857142857146,54,0.938861985472155,5.906768705443812e-11,1.231008936927924e-10,-0.4701262633488974,1.7872762241025342,3.207776303540168
2015,252,56.09126984126984,55,0.9506994888350822,6.229121475233541e-11,1.3834988254051353e-10,0.30617952512694074,2.1638043506989293,2.8143722982123487
2016,252,56.095238095238095,56,0.9507667473769169,5.487295120805137e-11,1.296347403018712e-10,-0.4258928858617023,1.7649472779262392,2.0145480713479187
2017,251,56.167330677290835,56,0.9519886555473023,3.7106711164536e-11,6.968198431973283e-11,-1.0205907172232147,-0.09953309761276825,0.1759611087868273
2018,251,56.286852589641434,56,0.9540144506718887,4.480404674002361e-11,9.801082135609941e-11,0.8082403518736627,3.128550944831057,3.484072171739206
2019,252,56.78968253968254,56,0.9625369921980091,4.172739327595227e-11,8.4888263675382e-11,-0.10997620053386901,2.4421252113398237,3.2865731210690194
2020,253,57.055335968379445,57,0.9670395926843973,5.718446561534695e-11,1.9679067474671712e-10,0.49302918702096116,5.0602222851638965,7.118486418187932
2021,252,58.71825396825397,58,0.9952246435297283,3.676406009260101e-11,7.232851551319213e-11,-0.8626133533253287,0.4203073450900563,1.2153776465908483
2022,251,59.0,59,1.0,4.617823428381257e-11,1.2383028938395116e-10,1.286831595661125,3.2001402171560693,3.6301670139944298
2023,250,59.0,59,1.0,3.52878695249582e-11,6.941458996820621e-11,-0.9350385412548314,0.20113094589956856,0.5592949093992827
2024,252,59.0,59,1.0,2.841057665819739e-11,4.9365421835926354e-11,-0.8204218104548694,0.7059415959342215,1.6502883093640532
2025,250,59.0,59,1.0,2.4892173533200964e-11,4.6380255088052825e-11,-0.45629623711064743,1.8307190981613335,3.2371027593200328
