context_classification,count
BOUNDARY_STATEMENT,65
NEXT_STAGE_PROTOCOL_TEXT,26
PROTOCOL_OR_REGISTRY_TEXT,9
PROTOCOL_OR_SCOPE_TEXT,5
FORBIDDEN_EXAMPLE_TEXT,2
UNAVAILABLE_EVIDENCE_LIST,1
