workflow_state,observations,coverage,ticker_count,date_count
CSM_HIGH_x_TSM_HIGH,7300,0.10004248379448807,126,146
CSM_HIGH_x_TSM_LOW,0,0.0,0,0
CSM_NOT_HIGH_x_TSM_HIGH,40565,0.5559210075511518,439,146
CSM_NOT_HIGH_x_TSM_LOW,25104,0.3440365086543601,342,146
