scope,observations,date_count,ticker_count,csm_high_count,tsm_high_count,overlap_count,csm_high_tsm_low_count,jaccard,p_tsm_high_given_csm_high,p_csm_high_given_tsm_high,reproduces_nested_pattern
full_oos,72969,146,500,7300,47865,7300,0,0.15251227410425153,1.0,0.15251227410425153,True
month_2025-12,499,1,499,50,309,50,0,0.16181229773462782,1.0,0.16181229773462782,True
month_2026-01,9980,20,499,1000,6303,1000,0,0.15865460891638902,1.0,0.15865460891638902,True
month_2026-02,9490,19,500,950,6064,950,0,0.1566622691292876,1.0,0.1566622691292876,True
month_2026-03,11000,22,500,1100,7627,1100,0,0.1442244657139111,1.0,0.1442244657139111,True
month_2026-04,10500,21,500,1050,7469,1050,0,0.14058106841611998,1.0,0.14058106841611998,True
month_2026-05,10000,20,500,1000,6552,1000,0,0.15262515262515264,1.0,0.15262515262515264,True
month_2026-06,10500,21,500,1050,6708,1050,0,0.15652951699463327,1.0,0.15652951699463327,True
month_2026-07,11000,22,500,1100,6833,1100,0,0.1609834626079321,1.0,0.1609834626079321,True
