strategy,observations,start,end,total_return,cagr,annualized_volatility,sharpe,sortino,maximum_drawdown,calmar,best_month,worst_month,positive_month_pct,rebalance_events,metric_type
CSM-001,1154,2022-01-04,2026-08-11,-0.13257527134293356,-0.03044839131210142,0.3309929292759227,0.0704787662469911,0.06243354605408299,-0.5924139984775868,-0.051397150287381996,0.23819695951623765,-0.1692092516618815,0.17857142857142858,56,net
CSM-001xTSM-001,1154,2022-01-04,2026-08-11,-0.1348682982107855,-0.03100619183806519,0.33755833801888696,0.07373533586575796,0.06566736041623195,-0.5958046809834571,-0.05204086645792247,0.23835978548403802,-0.1778499252479646,0.17857142857142858,56,net
SPY,1154,2022-01-04,2026-08-11,0.6128100470957636,0.10950896611964689,0.1728375619579544,0.6903433429990858,0.9596365265221518,-0.25331434435671396,0.43230463871969993,0.10504214606534124,-0.09592265445065984,0.625,56,benchmark
