asset_id,symbol,exchange,status,tradable,security_type_assessment,security_type_reason
015dd0d0-732c-402a-a968-2c5e2d456b5a,VUSI,ARCA,active,True,EXCLUDED_NON_COMMON,name contains ETF
aac8e44f-554f-44ff-8b19-e2b94d28b3d4,VUSV,BATS,active,True,EXCLUDED_NON_COMMON,name contains ETF
8a2a3b79-ebcf-4e32-a606-96418f63643b,VVOS,NASDAQ,active,True,COMMON_STOCK_COMPATIBLE,metadata compatible with common-stock filter
8d0c327a-5290-46ef-bdb8-f4aa4f759424,VVR,NYSE,active,True,EXCLUDED_NON_COMMON,name contains TRUST
fa10527b-1297-41b5-842e-3f4e6980c931,VWAV,NASDAQ,active,True,COMMON_STOCK_COMPATIBLE,metadata compatible with common-stock filter
5c265c3a-a3d2-4f65-a9bb-9b0ac2529af2,VWAVW,NASDAQ,active,True,EXCLUDED_NON_COMMON,name contains WARRANT
928807a8-cbc0-41cc-89bb-0941618bfe5d,VXX,BATS,active,True,EXCLUDED_NON_COMMON,name contains ETN
d23c5882-f319-43a6-97d8-799e7c14e676,VXZ,BATS,active,True,EXCLUDED_NON_COMMON,name contains ETN
884bd3fd-3b57-45ea-a59b-95bf231a10df,VYLD,ARCA,active,True,EXCLUDED_NON_COMMON,name contains ETN
d32ea6ed-22e5-49ed-88d6-05303de5a35b,WAFU,NASDAQ,active,True,COMMON_STOCK_COMPATIBLE,metadata compatible with common-stock filter
caf1c729-8884-4eb9-81f7-684ceb50699e,WALDW,NASDAQ,active,True,EXCLUDED_NON_COMMON,name contains WARRANT
e0a99cbd-1cdd-498c-b4e1-a50632416f5a,WABF,NASDAQ,active,True,EXCLUDED_NON_COMMON,name contains ETF
a32ab7d5-e0f2-457d-b783-884750d17012,WAMA,NASDAQ,active,True,EXCLUDED_NON_COMMON,name contains FUND
4c4bd59c-4c4a-40a8-ba6d-8675f5cd1fc5,CSHRW,NASDAQ,active,True,EXCLUDED_NON_COMMON,name contains WARRANT
af45f637-813b-477d-b3a5-cbcd4a3da124,WANT,ARCA,active,True,EXCLUDED_NON_COMMON,name contains ETF
af7eff12-cf63-4997-9e49-ff13e83ebe2a,WAR,ARCA,active,True,EXCLUDED_NON_COMMON,name contains ETF
77082866-05f2-444f-9902-6ad8a5db2733,WARP,NASDAQ,active,True,EXCLUDED_NON_COMMON,name contains ETF
1f8e6a39-0d10-4223-8c71-fae5fa767708,WATT,NASDAQ,active,True,COMMON_STOCK_COMPATIBLE,metadata compatible with common-stock filter
02eb71d8-8191-4273-8406-474002c14e20,WATS,BATS,active,True,EXCLUDED_NON_COMMON,name contains ETF
861bb5c6-0620-4bd2-81a2-4ab5ef783071,WBIF,ARCA,active,True,EXCLUDED_NON_COMMON,name contains ETF
1ddacd1b-f425-452f-a377-89040b834d52,WBIG,ARCA,active,True,EXCLUDED_NON_COMMON,name contains ETF
5956b984-4fe0-4e0e-8774-66d7e4566fcf,WBIL,ARCA,active,True,EXCLUDED_NON_COMMON,name contains ETF
bcda8890-ba9e-4f89-8860-71f901bd3721,WBIY,NYSE,active,True,EXCLUDED_NON_COMMON,name contains ETF
206678de-0a5f-4a1c-9979-488acc7dfa72,WBTN,NASDAQ,active,True,COMMON_STOCK_COMPATIBLE,metadata compatible with common-stock filter
