date,liq001_zscore,aggregate_illiquidity,realized_volatility_20d,daily_log_return,spy_drawdown,regime_label,coverage_ratio
2020-03-16,7.118486418187932,4.1293938030213237e-10,0.7631503976035389,-0.1158865374770153,-0.29109768664777025,STRESS,0.9661016949152542
2020-03-17,7.088103660899554,2.4688817695940367e-10,0.7993746648659935,0.0525849209492369,-0.2528225873736383,STRESS,0.9661016949152542
2020-03-18,6.718416160627007,1.5145242120188126e-10,0.8063569244142488,-0.0519597510025378,-0.290654363664653,STRESS,0.9661016949152542
2020-03-19,6.38181770821518,1.1952750665805526e-10,0.8079170760443747,0.0021227225413289,-0.2891470204230735,STRESS,0.9661016949152542
2020-03-20,6.378777039527415,2.5156157289155983e-10,0.8154614787882689,-0.0499133730395753,-0.32375715100717295,STRESS,0.9661016949152542
2020-03-13,6.366405920116016,2.3759740579161713e-10,0.6746301378041495,0.0820280921987331,-0.20399595011150728,STRESS,0.9661016949152542
2020-03-12,6.034903331429612,3.2568119602559576e-10,0.5852512065457545,-0.1005688605662431,-0.2666843905661951,STRESS,0.9661016949152542
2020-03-24,5.919561120890542,3.3047262218939833e-10,0.8896872125697312,0.0867309943625373,-0.28134422022734384,STRESS,0.9661016949152542
2020-03-23,5.912100278710546,1.356371173352239e-10,0.8141090739540138,-0.0259007554583412,-0.3410474689324394,STRESS,0.9661016949152542
2020-03-25,5.656413377729433,9.34713736920306e-11,0.8943220387855214,0.0148592336190372,-0.27058581321355046,STRESS,0.9661016949152542
2020-03-26,5.42910889891285,2.0948123895107235e-10,0.915025548963992,0.0567486987697194,-0.2279954630425125,STRESS,0.9661016949152542
2020-03-27,5.284292040984661,1.4438716004462734e-10,0.918626026999928,-0.0302382599913111,-0.2509901255781125,STRESS,0.9661016949152542
2020-03-11,5.171832212743678,2.186512252601398e-10,0.4998371143281528,-0.0499767384502889,-0.18909975669099754,STRESS,0.9661016949152542
2020-03-30,4.985815666777383,1.5206340603465298e-10,0.9121265411901384,0.0319595253458066,-0.22666549409316095,STRESS,0.9661016949152542
2020-03-31,4.770716668141947,1.1152758286544766e-10,0.9093982215261672,-0.015017586594124,-0.238192342644018,STRESS,0.9661016949152542
2020-04-01,4.677317471393981,2.63082218200912e-10,0.9004445364078958,-0.0460490414887796,-0.272477399773152,STRESS,0.9661016949152542
2020-03-10,4.544565361029418,1.33502651353066e-10,0.4793543224492759,0.0504505872938113,-0.1475438418468935,STRESS,0.9661016949152542
2020-04-02,4.41609017988365,7.958832609673926e-11,0.9044591816983538,0.0228131825524171,-0.25568952959507885,STRESS,0.9661016949152542
2011-08-29,4.376955275006338,3.3735154013023965e-10,0.4848797254766117,0.028330974868218,-0.11045952411096827,STRESS,0.864406779661017
2020-04-03,4.28244231126034,1.047822113185283e-10,0.9042679143067662,-0.0145596722536619,-0.26644793660887234,STRESS,0.9661016949152542
