segment,observations,liq_zscore_mean,liq_zscore_median,aggregate_illiquidity_median,spy_realized_volatility_20d_mean,spy_abs_return_mean,spy_return_mean,spy_drawdown_mean,spy_drawdown_min,mr_stress_share,coverage_ratio_mean
LOW_LIQUIDITY_STRESS_BOTTOM20,751,-1.448125732244383,-1.377627906658223,3.78466794017808e-11,0.0885060851306556,0.0045382624984068734,0.00025610383926722515,-0.020286031595406692,-0.19216677363885792,0.0013315579227696406,0.9637319731882914
MIDDLE_60,2251,-0.4493286633061933,-0.5139329121015123,4.7814286762793804e-11,0.12263294752594539,0.006142346675277891,0.0006464925310500744,-0.02983491544427099,-0.2115299859757509,0.08973789426921368,0.9527140479937354
HIGH_LIQUIDITY_STRESS_TOP20,751,1.8732012856098263,1.6037912193329331,6.633000029323521e-11,0.2582286635958671,0.013037935592049596,3.659557358352939e-05,-0.10186766237583562,-0.3410474689324394,0.7802929427430093,0.9557426256516736
