sample,adv_threshold,observations,adv20_pass_rate,adv60_pass_rate,median_adv20,median_adv60
oos,10000000,7300,1.0,1.0,1021664287.6553345,964302224.1059335
oos,50000000,7300,1.0,1.0,1021664287.6553345,964302224.1059335
oos,100000000,7300,1.0,1.0,1021664287.6553345,964302224.1059335
reference,10000000,178612,0.9781201710971267,0.9786688464380893,208970816.95358753,206127544.15445963
reference,50000000,178612,0.8813797505206817,0.8822867444516606,208970816.95358753,206127544.15445963
reference,100000000,178612,0.7594898439074642,0.7615613732559963,208970816.95358753,206127544.15445963
