universe_id,source_asset_id,symbol,exchange,first_available_bar_date,last_available_bar_date,daily_bar_count,usable_bar_count,coverage_percentage,usable_for_csm_start_date,history_capable
FUF001_FREE_US_EQUITY_250_V1,41b54729-8470-4593-be38-b3a681871f81,AAL,NASDAQ,2021-01-04,2026-08-11,1407,1407,1.0,2022-01-03,YES
FUF001_FREE_US_EQUITY_250_V1,85e18d9a-652b-49f6-87fd-841d571602df,AAON,NASDAQ,2021-01-04,2026-08-11,1407,1407,1.0,2022-01-03,YES
FUF001_FREE_US_EQUITY_250_V1,b0b6dd9d-8b9b-48a9-ba46-b9d54906e415,AAPL,NASDAQ,2021-01-04,2026-08-11,1407,1407,1.0,2022-01-03,YES
FUF001_FREE_US_EQUITY_250_V1,0b666f8b-ad53-4c8e-b200-a47693ab24bf,ABCB,NYSE,2021-01-04,2026-08-11,1407,1407,1.0,2022-01-03,YES
FUF001_FREE_US_EQUITY_250_V1,2652df43-e5bd-4504-80f2-4d4d672090bd,ABCL,NASDAQ,2021-01-04,2026-08-11,1407,1407,1.0,2022-01-03,YES
FUF001_FREE_US_EQUITY_250_V1,403113aa-7838-4345-dd32-d63a5f9da70b,ABNB,NASDAQ,2021-01-04,2026-08-11,1407,1407,1.0,2022-01-03,YES
FUF001_FREE_US_EQUITY_250_V1,0f148c0c-7f48-4453-ad89-379f25c3cfea,ABUS,NASDAQ,2021-01-04,2026-08-11,1407,1407,1.0,2022-01-03,YES
FUF001_FREE_US_EQUITY_250_V1,c42feb70-c4a1-48a3-869b-d94eb3998f6e,ACGL,NASDAQ,2021-01-04,2026-08-11,1407,1407,1.0,2022-01-03,YES
FUF001_FREE_US_EQUITY_250_V1,ab41d7a3-9cb3-47a3-bd32-3db84a6d4806,ACHC,NASDAQ,2021-01-04,2026-08-11,1407,1407,1.0,2022-01-03,YES
FUF001_FREE_US_EQUITY_250_V1,0f0cb890-5126-41a8-8755-b6ee60b6bb0e,ACIW,NASDAQ,2021-01-04,2026-08-11,1407,1407,1.0,2022-01-03,YES
FUF001_FREE_US_EQUITY_250_V1,82ea58a2-4bf9-424d-b00a-c718f7e07836,ACLS,NASDAQ,2021-01-04,2026-08-11,1407,1407,1.0,2022-01-03,YES
FUF001_FREE_US_EQUITY_250_V1,12774bd5-d688-43b4-b4eb-faea73c7d0fa,ACMR,NASDAQ,2021-01-04,2026-08-11,1407,1407,1.0,2022-01-03,YES
FUF001_FREE_US_EQUITY_250_V1,3a353cfc-aca3-470a-b987-588e1f4a9751,ACRS,NASDAQ,2021-01-04,2026-08-11,1407,1407,1.0,2022-01-03,YES
FUF001_FREE_US_EQUITY_250_V1,2ac633b5-b3a7-4ba6-975d-f0f1e12dd1e4,ADBE,NASDAQ,2021-01-04,2026-08-11,1407,1407,1.0,2022-01-03,YES
FUF001_FREE_US_EQUITY_250_V1,57898509-67e0-43e1-9dd3-33839d6401f2,ADEA,NASDAQ,2021-01-04,2026-08-11,1407,1407,1.0,2022-01-03,YES
FUF001_FREE_US_EQUITY_250_V1,e72fbd29-be6b-43c2-80c6-b6e80d5b23db,ADI,NASDAQ,2021-01-04,2026-08-11,1407,1407,1.0,2022-01-03,YES
FUF001_FREE_US_EQUITY_250_V1,8ece6223-c699-4d88-b50f-4170ed6fd724,ADMA,NASDAQ,2021-01-04,2026-08-11,1407,1407,1.0,2022-01-03,YES
FUF001_FREE_US_EQUITY_250_V1,6ca2e51d-21df-4ff0-a134-abfdbe084142,ADP,NASDAQ,2021-01-04,2026-08-11,1407,1407,1.0,2022-01-03,YES
FUF001_FREE_US_EQUITY_250_V1,6e1ee27c-582e-4d0c-bf03-9dbb4f6cef6a,ADPT,NASDAQ,2021-01-04,2026-08-11,1407,1407,1.0,2022-01-03,YES
FUF001_FREE_US_EQUITY_250_V1,a21ecb08-ff55-4c19-94d3-a8d607d91be8,ADSK,NASDAQ,2021-01-04,2026-08-11,1407,1407,1.0,2022-01-03,YES
FUF001_FREE_US_EQUITY_250_V1,a18a1262-cfa0-4e86-a555-c885e7b87e5a,ADTN,NASDAQ,2021-01-04,2026-08-11,1407,1407,1.0,2022-01-03,YES
FUF001_FREE_US_EQUITY_250_V1,2cc5ff82-fd0c-4c65-881c-ad748298d42a,ADV,NASDAQ,2021-01-04,2026-08-11,1407,1407,1.0,2022-01-03,YES
FUF001_FREE_US_EQUITY_250_V1,80149eab-4700-4a98-ba25-2fff713c38ca,AEIS,NASDAQ,2021-01-04,2026-08-11,1407,1407,1.0,2022-01-03,YES
FUF001_FREE_US_EQUITY_250_V1,90e9c946-6323-49a4-be69-116f04fec288,AEP,NASDAQ,2021-01-04,2026-08-11,1407,1407,1.0,2022-01-03,YES
FUF001_FREE_US_EQUITY_250_V1,177c72c9-99a2-4c98-96cc-c782f83dd45d,AGEN,NASDAQ,2021-01-04,2026-08-11,1407,1407,1.0,2022-01-03,YES
FUF001_FREE_US_EQUITY_250_V1,00f336cc-8448-4c78-aba4-be5e38b4b102,AGIO,NASDAQ,2021-01-04,2026-08-11,1407,1407,1.0,2022-01-03,YES
FUF001_FREE_US_EQUITY_250_V1,7c719276-2ed5-4cec-a0f8-1a74c5dc484f,AGNC,NASDAQ,2021-01-04,2026-08-11,1407,1407,1.0,2022-01-03,YES
