prev_interaction_state,interaction_state,transition_count,transition_probability
CSM_HIGH_x_TSM_HIGH,CSM_HIGH_x_TSM_HIGH,167435,0.9376855097949172
CSM_HIGH_x_TSM_HIGH,CSM_NOT_HIGH_x_TSM_HIGH,11115,0.06224728665673548
CSM_HIGH_x_TSM_HIGH,CSM_NOT_HIGH_x_TSM_LOW,12,6.720354834735274e-05
CSM_NOT_HIGH_x_TSM_HIGH,CSM_NOT_HIGH_x_TSM_HIGH,1065615,0.9691162213730045
CSM_NOT_HIGH_x_TSM_HIGH,CSM_NOT_HIGH_x_TSM_LOW,22857,0.020787141201956395
CSM_NOT_HIGH_x_TSM_HIGH,CSM_HIGH_x_TSM_HIGH,11102,0.010096637425039152
CSM_NOT_HIGH_x_TSM_LOW,CSM_NOT_HIGH_x_TSM_LOW,467417,0.9535133260574657
CSM_NOT_HIGH_x_TSM_LOW,CSM_NOT_HIGH_x_TSM_HIGH,22778,0.04646627431380749
CSM_NOT_HIGH_x_TSM_LOW,CSM_HIGH_x_TSM_HIGH,10,2.0399628726757173e-05
