year,rows,raw_observations,valid_flags,mean_hy_oas,median_hy_oas,max_hy_oas,min_hy_oas,mean_zscore,mean_percentile
2023,110,110,0,3.9423636363636367,3.9,4.53,3.32,,
2024,262,262,121,3.1499618320610687,3.17,3.93,2.6,-1.2258904367962042,0.18657352748261838
2025,261,261,261,3.0500766283524907,2.94,4.61,2.59,-0.059910576285301276,0.493097366660585
2026,148,148,148,2.8579054054054054,2.8049999999999997,3.46,2.63,-0.6312234266747375,0.31499356499356496
