percentile_bucket,count,percentage
"(-0.001, 0.2]",183,0.3452830188679245
"(0.2, 0.4]",120,0.22641509433962265
"(0.4, 0.6]",104,0.19622641509433963
"(0.6, 0.8]",68,0.12830188679245283
"(0.8, 1.0]",55,0.10377358490566038
