date,vol001_yz_volatility_20d,vol001_zscore,vol001_percentile,daily_log_return,overnight_return,open_to_close_return,rs_component,drawdown
2020-03-16,0.795378552190818,7.6305323506088545,1.0,-0.11588638593698342,-0.1103566270250968,-0.0055297589118864,0.0045028652464114,-0.29109751534842054
2018-02-09,0.2109653958262826,7.550239413872198,1.0,0.014909643969540323,0.0122291437109581,0.0026805002585821,0.0011096611181386,-0.0875146658046353
2020-03-13,0.6767289042346863,7.179071591637914,1.0,0.08202801404777124,0.058623888217928,0.0234041258298431,0.0048300706528048,-0.20399587839136923
2020-03-17,0.8239674588241036,7.091339733860831,1.0,0.05258463282976724,0.0214073936106913,0.0311772392190759,0.0027124997846683,-0.252822622101864
2018-02-12,0.2179205464496615,7.068216469750088,1.0,0.014577554073602943,0.0088704508253576,0.0057071032482452,0.0001905166962829,-0.07411543477951033
2020-03-18,0.865715240814283,6.773769132800316,1.0,-0.051959409605728424,-0.0677077665738676,0.0157483569681391,0.0035306308777492,-0.2906541544661202
2020-03-10,0.5047151818426492,6.735841756942132,1.0,0.0504501731917966,0.0372576508822461,0.0131925223095506,0.0021252840691369,-0.14754383216784328
2020-03-12,0.5841957546567164,6.719161497071865,1.0,-0.10056909799795653,-0.0692638521919685,-0.0313052458059878,0.0029988684512037,-0.26668426718497173
2018-02-06,0.158567525778966,6.483266191044322,1.0,0.019510653754066416,-0.0152330540825528,0.0347437078366193,0.0002669833510954,-0.06089051038667992
2020-03-09,0.4524080668192841,6.445402971988787,1.0,-0.08131266590936058,-0.0774185084979279,-0.0038941574114326,0.0011530425991398,-0.18948356497178886
2018-02-07,0.1664020779492145,6.430300988308123,1.0,-0.005439454165401287,-0.0023434688829723,-0.0030959852824287,0.0002490859737161,-0.06598488554076776
2018-02-13,0.2177356672367612,6.426633039123003,0.996031746031746,0.0024844398440356506,-0.0051764039876833,0.007660843831719,4.870075286978658e-05,-0.07181227042272997
2018-02-08,0.1746897682285837,6.374903669825903,1.0,-0.03823025135915897,0.0012696122965016,-0.0394998636556607,3.008954604433725e-05,-0.10101857784831991
2020-03-11,0.5143405451608359,6.310537341324938,1.0,-0.04997634412170884,-0.02713087650587,-0.0228454676158389,0.00057469937889,-0.18909942772257793
2020-03-19,0.8769875621091991,6.289109091246052,1.0,0.002122603097325738,-0.003130012452931,0.0052526155502568,0.0019872586787831,-0.28914689568714425
2024-08-05,0.2227803170164792,6.070930515316073,1.0,-0.02955620584605991,-0.0407125481143705,0.0111563422683108,0.0003119016320622,-0.08405603274634699
2024-08-06,0.2307542105857822,6.003278909945844,1.0,0.009177186617724509,0.0035498659597918,0.0056273206579324,0.0003115536095974,-0.07561155502009687
2018-02-14,0.2194371404031782,5.995038895533506,1.0,0.013405898011155796,-0.0063737273167019,0.0197796253278579,3.3118799041436184e-05,-0.05928530035294988
2024-08-07,0.2394033911868525,5.950967997644048,1.0,-0.006706242518791873,0.0120312305769335,-0.0187374730957254,0.0001683860436075,-0.08178998792342407
2020-03-20,0.8899606469904292,5.914191151424669,1.0,-0.0440504173853553,0.0142267188038222,-0.0582771361891775,0.0006059664775206,-0.31978060439375033
