date,vol001_yz_volatility_20d,vol001_zscore,vol001_percentile
2020-03-16,0.795378552190818,7.6305323506088545,1.0
2018-02-09,0.2109653958262826,7.550239413872198,1.0
2020-03-13,0.6767289042346863,7.179071591637914,1.0
2020-03-17,0.8239674588241036,7.091339733860831,1.0
2018-02-12,0.2179205464496615,7.068216469750088,1.0
2020-03-18,0.865715240814283,6.773769132800316,1.0
2020-03-10,0.5047151818426492,6.735841756942132,1.0
2020-03-12,0.5841957546567164,6.719161497071865,1.0
2018-02-06,0.158567525778966,6.483266191044322,1.0
2020-03-09,0.4524080668192841,6.445402971988787,1.0
2018-02-07,0.1664020779492145,6.430300988308123,1.0
2018-02-13,0.2177356672367612,6.426633039123003,0.996031746031746
2018-02-08,0.1746897682285837,6.374903669825903,1.0
2020-03-11,0.5143405451608359,6.310537341324938,1.0
2020-03-19,0.8769875621091991,6.289109091246052,1.0
2024-08-05,0.2227803170164792,6.070930515316073,1.0
2024-08-06,0.2307542105857822,6.003278909945844,1.0
2018-02-14,0.2194371404031782,5.995038895533506,1.0
2024-08-07,0.2394033911868525,5.950967997644048,1.0
2020-03-20,0.8899606469904292,5.914191151424669,1.0
