state,observations,mean_hy_oas,median_hy_oas,min_hy_oas,max_hy_oas,mean_zscore,median_zscore,mean_percentile,mean_spread_change_5d,mean_spread_change_20d,mean_abs_spread_change_20d
LOW_CREDIT_STRESS,183,2.772622950819672,2.73,2.59,3.14,-1.429219034133436,-1.3026012214963154,0.07849770144852107,-0.029887640449438185,-0.11855491329479766,0.15936416184971094
MID_CREDIT_STRESS,292,2.9997602739726026,2.95,2.71,3.72,-0.30533073640841296,-0.3971510055230028,0.45747716894977164,-0.007226027397260282,-0.04166077738515902,0.20159010600706714
HIGH_CREDIT_STRESS,55,3.643090909090909,3.53,3.19,4.61,1.6966034157638163,1.391983678327206,0.908080808080808,0.1049090909090909,0.38407407407407407,0.6192592592592592
