date,state,crd001_hy_oas,crd001_zscore_252d,crd001_percentile_252d,spread_change_20d
2024-08-13,MID_CREDIT_STRESS,3.54,0.0639282474318762,0.626984126984127,0.45999999999999996
2024-08-14,MID_CREDIT_STRESS,3.46,-0.1333379255833638,0.5674603174603174,0.3700000000000001
2025-03-06,MID_CREDIT_STRESS,2.99,-0.1052938435078631,0.4365079365079365,0.33000000000000007
2025-03-10,MID_CREDIT_STRESS,3.16,0.5588779847549254,0.6785714285714286,0.5
2025-03-11,HIGH_CREDIT_STRESS,3.22,0.7899014574112199,0.8174603174603174,0.56
2025-03-12,MID_CREDIT_STRESS,3.2,0.7100417150758347,0.7738095238095238,0.5500000000000003
2025-03-13,HIGH_CREDIT_STRESS,3.4,1.479279307027351,0.9523809523809524,0.75
2025-03-14,HIGH_CREDIT_STRESS,3.25,0.8949123956789716,0.8690476190476191,0.6299999999999999
2025-03-17,MID_CREDIT_STRESS,3.18,0.6224572493751195,0.6984126984126984,0.56
2025-03-18,HIGH_CREDIT_STRESS,3.23,0.8135920351162497,0.8253968253968254,0.6099999999999999
2025-03-19,MID_CREDIT_STRESS,3.19,0.6573827629552458,0.7301587301587301,0.5099999999999998
2025-03-20,MID_CREDIT_STRESS,3.17,0.5813372393134203,0.6706349206349206,0.5099999999999998
2025-03-21,HIGH_CREDIT_STRESS,3.21,0.7365972463134284,0.8055555555555556,0.43000000000000016
2025-03-26,MID_CREDIT_STRESS,3.19,0.6639936508366152,0.7380952380952381,0.3799999999999999
2025-03-27,HIGH_CREDIT_STRESS,3.27,0.9707454717451252,0.8809523809523809,0.45999999999999996
2025-03-28,HIGH_CREDIT_STRESS,3.47,1.729267391587492,0.9682539682539684,0.6000000000000001
2025-03-31,HIGH_CREDIT_STRESS,3.55,2.015869218622385,0.984126984126984,0.6099999999999999
2025-04-01,HIGH_CREDIT_STRESS,3.5,1.811873304022057,0.9722222222222222,0.5099999999999998
2025-04-02,HIGH_CREDIT_STRESS,3.42,1.501792821271062,0.9444444444444444,0.54
2025-04-03,HIGH_CREDIT_STRESS,4.01,3.640486888048818,1.0,1.0199999999999996
2025-04-04,HIGH_CREDIT_STRESS,4.45,5.005910940162801,1.0,1.48
2025-04-07,HIGH_CREDIT_STRESS,4.61,5.25549502356865,1.0,1.4500000000000002
2025-04-08,HIGH_CREDIT_STRESS,4.57,4.870907583614537,0.996031746031746,1.35
2025-04-09,HIGH_CREDIT_STRESS,4.37,4.083089768417925,0.988095238095238,1.17
2025-04-10,HIGH_CREDIT_STRESS,4.42,4.081533172029012,0.988095238095238,1.02
2025-04-11,HIGH_CREDIT_STRESS,4.26,3.5047141145708927,0.98015873015873,1.0099999999999998
2025-04-14,HIGH_CREDIT_STRESS,4.14,3.0872714969491524,0.9761904761904762,0.9599999999999995
2025-04-15,HIGH_CREDIT_STRESS,4.09,2.8856285545930778,0.9722222222222222,0.8599999999999999
2025-04-16,HIGH_CREDIT_STRESS,4.16,3.014384388693973,0.9761904761904762,0.9700000000000002
2025-04-17,HIGH_CREDIT_STRESS,4.02,2.5852660145670643,0.9642857142857144,0.8499999999999996
2025-04-18,HIGH_CREDIT_STRESS,4.02,2.543857089528001,0.9642857142857144,0.8099999999999996
2025-04-21,HIGH_CREDIT_STRESS,4.16,2.8611457440522803,0.9761904761904762,1.1100000000000003
2025-04-22,HIGH_CREDIT_STRESS,3.99,2.376003676248168,0.9484126984126984,0.9000000000000004
2025-04-23,HIGH_CREDIT_STRESS,3.75,1.7322321795728552,0.9404761904761904,0.56
2025-04-24,HIGH_CREDIT_STRESS,3.73,1.6642415813599656,0.9365079365079364,0.45999999999999996
2025-04-30,HIGH_CREDIT_STRESS,3.94,2.1269683134061106,0.9444444444444444,0.52
2025-08-01,MID_CREDIT_STRESS,3.13,0.1569548114545172,0.623015873015873,0.33000000000000007
2025-10-10,MID_CREDIT_STRESS,3.18,0.4286732433792347,0.7857142857142857,0.3900000000000001
2025-10-13,MID_CREDIT_STRESS,3.18,0.426079490433291,0.7857142857142857,0.43000000000000016
2025-10-14,MID_CREDIT_STRESS,3.11,0.2495720905156186,0.7103174603174603,0.31999999999999984
2025-10-16,MID_CREDIT_STRESS,3.04,0.0721057106732956,0.6785714285714286,0.33000000000000007
2025-10-17,MID_CREDIT_STRESS,3.04,0.0697696632149756,0.6785714285714286,0.31999999999999984
2025-11-24,MID_CREDIT_STRESS,3.15,0.2679360831879924,0.7222222222222222,0.3500000000000001
2026-03-09,HIGH_CREDIT_STRESS,3.19,0.3408391800789953,0.8134920634920635,0.3500000000000001
2026-03-13,HIGH_CREDIT_STRESS,3.28,0.5837992070493696,0.8611111111111112,0.3299999999999996
2026-03-16,HIGH_CREDIT_STRESS,3.27,0.5567207236743569,0.8571428571428571,0.33000000000000007
2026-03-18,HIGH_CREDIT_STRESS,3.2,0.3755861854464439,0.8293650793650794,0.3400000000000003
2026-03-19,HIGH_CREDIT_STRESS,3.27,0.5698661305932178,0.8690476190476191,0.3900000000000001
2026-03-20,HIGH_CREDIT_STRESS,3.24,0.4906751004675077,0.8571428571428571,0.38000000000000034
2026-03-27,HIGH_CREDIT_STRESS,3.42,1.2250597332629185,0.9126984126984128,0.31999999999999984
2026-03-30,HIGH_CREDIT_STRESS,3.46,1.4162012192220088,0.9166666666666666,0.43000000000000016
