period,policy,benchmark,observations,annualized_return,benchmark_annualized_return,delta_annualized_return,annualized_volatility,benchmark_annualized_volatility,delta_annualized_volatility,max_drawdown,benchmark_max_drawdown,delta_max_drawdown,sortino,benchmark_sortino,delta_sortino,calmar,benchmark_calmar,delta_calmar
2008_2012,MR001_RISK_BUDGET,STATIC_RISK_BUDGET,1239,0.02600623268149338,0.01479620182848751,0.01121003085300587,0.2088489862880671,0.2300847368400676,-0.0212357505520005,-0.42894795574086053,-0.47243852964828303,0.0434905739074225,0.1991372352701651,0.10171573602421452,0.09742149924595059,0.06062794409773216,0.031318787312929065,0.029309156784803093
2013_2019,MR001_RISK_BUDGET,STATIC_RISK_BUDGET,1762,0.12101240050705808,0.10622071207471717,0.01479168843234091,0.11638915435610007,0.11250208134462873,0.0038870730114713425,-0.16589083286009954,-0.1784416192590449,0.012550786398945357,1.642887935986516,1.4721743584882634,0.17071357749825267,0.7294700883749935,0.5952687075794568,0.13420138079553667
2020_2022,MR001_RISK_BUDGET,STATIC_RISK_BUDGET,756,0.0636952640631745,0.05108332532952087,0.012611938733653627,0.198643905512981,0.2193310548321173,-0.02068714931913629,-0.2733172108488665,-0.3034456122911322,0.030128401442265695,0.49859124161609025,0.3583492459472671,0.14024199566882317,0.23304519999070028,0.16834425432558384,0.06470094566511644
2023_2025,MR001_RISK_BUDGET,STATIC_RISK_BUDGET,751,0.20313871361257996,0.18808130934174816,0.015057404270831798,0.13941931794144027,0.1346225698897637,0.004796748051676569,-0.16435763242970036,-0.167869093416239,0.0035114609865386504,2.439189183504553,2.3434614390827133,0.09572774442183984,1.2359554625457823,1.1204046290724408,0.1155508334733415
2008_2012,MR001_VOL_TARGET,STATIC_VOL_TARGET,1239,0.03586638281269239,0.015947203884053573,0.019919178928638814,0.1593246583111494,0.19721548872005792,-0.03789083040890853,-0.3226111664087209,-0.41708980758077796,0.09447864117205707,0.3639117133098404,0.12789961455177642,0.23601209875806398,0.11117526777499305,0.038234460766498286,0.07294080700849476
2013_2019,MR001_VOL_TARGET,STATIC_VOL_TARGET,1762,0.12042153259614996,0.09123242957539479,0.02918910302075517,0.10684036766455392,0.09643035543825319,0.010410012226300724,-0.12896850144422145,-0.1545744820614834,0.025605980617261936,1.7965960031811044,1.475183583974734,0.3214124192063703,0.933728245638583,0.5902166279884817,0.3435116176501013
2020_2022,MR001_VOL_TARGET,STATIC_VOL_TARGET,756,0.06944501092602517,0.046735684490124774,0.0227093264359004,0.1508802305261874,0.1879980469989577,-0.03711781647277029,-0.20166459573264994,-0.26442095538235433,0.06275635964970439,0.7235038150226063,0.38249233096065416,0.34101148406195214,0.34435896233412017,0.17674727943760996,0.1676116828965102
2023_2025,MR001_VOL_TARGET,STATIC_VOL_TARGET,751,0.18980968848733792,0.16046953374783923,0.02934015473949869,0.1281341970574814,0.11539077419122604,0.012743422866255377,-0.13837874139148088,-0.14529514650566133,0.006916405114180457,2.4662028402670058,2.3326605929215507,0.13354224734545506,1.3716679786120916,1.104438362926229,0.26722961568586245
2008_2012,MR001_HEDGE_ACTIVATION,STATIC_HEDGE_POLICY,1239,0.04203007125329328,0.01600411936836288,0.0260259518849304,0.12018378103395774,0.16434624060004827,-0.04416245956609052,-0.21742308225018414,-0.3577399354412608,0.14031685319107667,0.5609348535225596,0.15402730510025417,0.40690754842230537,0.19331007001791173,0.04473674248479502,0.1485733275331167
2013_2019,MR001_HEDGE_ACTIVATION,STATIC_HEDGE_POLICY,1762,0.1193519880126177,0.07616714978553385,0.043184838227083855,0.10068023959012667,0.08035862953187768,0.020321610058248993,-0.09314467679844474,-0.13017673757511272,0.037032060776667985,1.8868720679447206,1.4779024896042137,0.40896957834050696,1.2813613414632683,0.5851056894215448,0.6962556520417235
