interaction_state,observations,valid_future_return_observations,mean_future_return_1m,median_future_return_1m,positive_future_return_rate,mean_csm_score,mean_rsm_score
CSM_HIGH_x_RSM_HIGH,2891.0,2863.0,0.01739146965762888,0.0103886534802464,0.5515193852602166,0.955801212594733,0.9595138450975355
CSM_HIGH_x_RSM_LOW,3505.0,3485.0,0.01534489967514231,0.0116673396048567,0.5586800573888092,0.943543645769346,0.6917332049026333
CSM_LOW_x_RSM_HIGH,3788.0,3766.0,0.011186610706724855,0.00944263500719665,0.5562931492299522,0.7183632149776062,0.9435503237227514
CSM_LOW_x_RSM_LOW,55928.0,55505.0,0.012974155000919248,0.0123487989856352,0.5734078010990001,0.43189429784048167,0.4341895287580016
