metric,value
csm_rsm_score_spearman,0.6566070184098944
csm_score_future_1m_spearman,-0.0026619496012136312
rsm_score_future_1m_spearman,-0.006494465266101362
residualization_overlap_interpretation,numeric_score_overlap_measured_not_causal
