year,observations,jaccard_similarity,score_spearman,both_high_mean_future_return_1m,csm_only_mean_future_return_1m,rsm_only_mean_future_return_1m
2014,4682,0.3101449275362319,0.6831788330631231,0.010782570758515088,0.009391892159053972,0.008161275624091661
2015,5218,0.24285714285714285,0.6062060663324609,-0.0011837463818348232,0.00661361714863494,-0.006975850655612702
2016,5293,0.2822966507177033,0.7205966168950632,0.02098888438720716,0.013913121745069097,0.020701465945137464
2017,5400,0.31539424280350437,0.6821114781944022,0.025775992733047,0.016560913726301283,0.02483680980443981
2018,5483,0.3358208955223881,0.7388793550041669,0.0035331346595287214,0.007693676041354956,-0.005299819666865517
2019,5547,0.24290578887627695,0.6353150833120622,0.016905696701246715,0.02024544328765355,0.008327060896970271
2020,5607,0.18435155412647375,0.4799380171873363,0.022506253583302393,0.02407419118766932,0.015121170422435689
2021,5677,0.20556745182012848,0.45103146410981065,0.015067833979359851,0.00989408443091332,0.017390514151367577
2022,5703,0.3884197828709288,0.684410757940924,0.009544944602616892,0.008365070113162135,0.005790641474815875
2023,5774,0.32379862700228834,0.7193955536616967,0.025293048958148295,0.017090606358460932,0.011928043165457253
2024,5829,0.26996625421822273,0.7085414037122724,0.04104050841869534,0.031730297647684376,0.024304704504089333
2025,5899,0.33371428571428574,0.7786736840355503,0.01840860846615415,0.013661945259718531,0.0044703166673925356
