period_bucket,observations,valid_future_return_observations,mean_future_return_1m,median_future_return_1m,positive_future_return_rate,mean_csm_score,mean_rsm_score
2014_2016,15193.0,15193.0,0.011352892596899486,0.0098770919070962,0.5721055749358257,0.4987781691717,0.5
2017_2019,16430.0,16430.0,0.01365012004497609,0.01579908397336245,0.6048691418137553,0.4960617007542984,0.5
2020_2022,16987.0,16987.0,0.014162540552699047,0.0118853464796886,0.5512450697592276,0.5005565532671649,0.5
2023_2025,17502.0,17009.0,0.013416012482383518,0.0106977306614866,0.5558233876183197,0.4979603070519066,0.5
