segment,observations,valid_future_return_observations,mean_future_return_1m,median_future_return_1m,positive_future_return_rate,mean_csm_score,mean_rsm_score,mean_return_minus_neither
CSM_HIGH,6348.0,6348.0,0.01626791950183718,0.010910145093775251,0.5554505356017644,0.9490688679255141,0.8122924797405836,0.0032937645009179332
RSM_HIGH,6629.0,6629.0,0.013866428352891433,0.0096696121703905,0.5542314074521044,0.8206123088356986,0.9504620591095385,0.0008922733519721848
BOTH_HIGH,2863.0,2863.0,0.01739146965762888,0.0103886534802464,0.5515193852602166,0.9557673307231467,0.959455817621995,0.004417314656709633
CSM_HIGH_RSM_NOT_HIGH,3485.0,3485.0,0.01534489967514231,0.0116673396048567,0.5586800573888092,0.9435659413861679,0.6913947361668447,0.002370744674223062
RSM_HIGH_CSM_NOT_HIGH,3766.0,3766.0,0.011186610706724855,0.00944263500719665,0.5562931492299522,0.7178643460997021,0.9436247965972807,-0.001787544294194393
NEITHER_HIGH,55505.0,55505.0,0.012974155000919248,0.0123487989856352,0.5734078010990001,0.4318951393804019,0.4341838817155466,0.0
