symbol,latest_bar_session,freshness_state,eligibility_state,return_12_1,csm_rank,csm_candidate,tsm001_state,tsm_approved,target_weight
AEIS,2026-08-25,FRESH,ELIGIBLE,0.89410848689333,0.907258064516129,True,POSITIVE,True,0.04
AEM,2026-08-25,FRESH,ELIGIBLE,0.07186994262174506,0.45161290322580644,False,POSITIVE,True,0.0
AEO,2026-08-25,FRESH,ELIGIBLE,0.42080000000000006,0.7379032258064516,False,POSITIVE,True,0.0
AEP,2026-08-25,FRESH,ELIGIBLE,0.19840911145258988,0.5725806451612904,False,POSITIVE,True,0.0
AER,2026-08-25,FRESH,ELIGIBLE,0.27380851961197794,0.6209677419354839,False,POSITIVE,True,0.0
AES,2026-08-25,FRESH,ELIGIBLE,0.14007782101167332,0.5161290322580645,False,POSITIVE,True,0.0
AFG,2026-08-25,FRESH,ELIGIBLE,0.12353584257379358,0.4879032258064516,False,POSITIVE,True,0.0
AFL,2026-08-25,FRESH,ELIGIBLE,0.18582321378141753,0.5564516129032258,False,POSITIVE,True,0.0
AFYA,2026-08-25,FRESH,ELIGIBLE,-0.006276150627615107,0.3790322580645161,False,NEGATIVE,False,0.0
AG,2026-08-25,FRESH,ELIGIBLE,0.8057257435668932,0.8830645161290323,False,POSITIVE,True,0.0
AGCO,2026-08-25,FRESH,ELIGIBLE,0.038894663894663895,0.41935483870967744,False,POSITIVE,True,0.0
AGEN,2026-08-25,FRESH,ELIGIBLE,0.3509933774834437,0.6854838709677419,False,POSITIVE,True,0.0
AGI,2026-08-25,FRESH,ELIGIBLE,0.04943502824858759,0.4274193548387097,False,POSITIVE,True,0.0
AGIO,2026-08-25,FRESH,ELIGIBLE,-0.04791344667697062,0.3225806451612903,False,NEGATIVE,False,0.0
AGNC,2026-08-25,FRESH,ELIGIBLE,0.22080056344641386,0.5887096774193549,False,POSITIVE,True,0.0
AGNT,2026-08-25,FRESH,ELIGIBLE,-0.6094746716697936,0.036290322580645164,False,NEGATIVE,False,0.0
AGO,2026-08-25,FRESH,ELIGIBLE,0.04640256695051215,0.42338709677419356,False,POSITIVE,True,0.0
AGRO,2026-08-25,FRESH,ELIGIBLE,0.2014092777451555,0.5766129032258065,False,POSITIVE,True,0.0
AGYS,2026-08-25,FRESH,ELIGIBLE,-0.06968137918584716,0.29838709677419356,False,NEGATIVE,False,0.0
