construct_id,rows,first_date,last_date,core_valid_observations,normalized_valid_observations,alignment_valid_observations,first_alignment_date,last_alignment_date
MR-001,4509,2008-01-31,2025-12-31,4509,4509,4509,2008-01-31,2025-12-31
LIQ-001,4023,2010-01-05,2025-12-31,4004,3753,3753,2011-01-31,2025-12-31
VOL-001,4024,2010-01-04,2025-12-31,4004,3753,3753,2011-01-31,2025-12-31
BRD-001,4023,2010-01-04,2025-12-30,3824,3573,3573,2011-10-14,2025-12-30
COR-001,4023,2010-01-04,2025-12-30,3963,3712,3712,2011-03-29,2025-12-30
CRD-001,781,2023-07-31,2026-07-27,781,530,530,2024-07-16,2026-07-27
FUND-001,18931,1954-01-04,2026-07-27,6714,6463,6463,1998-01-05,2026-07-27
OPT-001,9541,1990-01-02,2026-07-28,9239,8988,8988,1990-12-28,2026-07-28
