,CSM-001
2022-01-04,0.0
2022-01-05,0.0
2022-01-06,0.0
2022-01-07,0.0
2022-01-10,0.0
2022-01-11,0.0
2022-01-12,0.0
2022-01-13,0.0
2022-01-14,0.0
2022-01-18,0.0
2022-01-19,0.0
2022-01-20,0.0
2022-01-21,0.0
2022-01-24,0.0
2022-01-25,0.0
2022-01-26,0.0
2022-01-27,0.0
2022-01-28,0.0
2022-01-31,0.0
2022-02-01,0.0015831120018680303
2022-02-02,-0.003948169991006543
2022-02-03,-0.022021919307178884
2022-02-04,0.011409018740093674
2022-02-07,0.005348053772707292
2022-02-08,0.03403164830927642
2022-02-09,0.04134569450988369
2022-02-10,-0.017573606297982693
2022-02-11,-0.022113982339514407
2022-02-14,-0.00608221425893317
2022-02-15,0.03790652810077942
2022-02-16,-0.0008246321127210624
2022-02-17,-0.03376039876266143
2022-02-18,-0.0032700259804376974
2022-02-22,-0.028274354366575476
2022-02-23,-0.01647010263929275
2022-02-24,0.04672282921517471
2022-02-25,0.025666966820081974
2022-02-28,0.0042285341918502865
2022-03-01,-0.022169500987374635
2022-03-02,0.030321855096700788
2022-03-03,-0.010636693123635526
2022-03-04,-0.018335332609589527
2022-03-07,-0.037495804547663034
2022-03-08,0.005367847853347718
2022-03-09,0.01712336699879982
2022-03-10,0.0030083045658253257
2022-03-11,-0.00871322812956916
2022-03-14,-0.013095118413746235
2022-03-15,0.022208307410664402
2022-03-16,0.036717307667750276
2022-03-17,0.030143522803565463
2022-03-18,0.002223041426056538
2022-03-21,0.003173419200130678
2022-03-22,0.019049279402154205
2022-03-23,-0.004044893433848248
2022-03-24,0.005930749839819462
2022-03-25,-0.002928573658731528
2022-03-28,0.01375872137702114
2022-03-29,0.01879083746033617
2022-03-30,-0.02046661315976205
2022-03-31,-0.017349045561430666
2022-04-01,-0.007218339196309444
2022-04-04,0.00755220438993896
2022-04-05,-0.03156530066787083
2022-04-06,-0.012511530061082387
2022-04-07,0.013052985239844814
2022-04-08,-0.02209448191313823
2022-04-11,-0.01573537532555308
2022-04-12,-0.002987960808055207
2022-04-13,0.03025888751163385
2022-04-14,-0.012229663488961014
2022-04-18,-0.007863258805613563
2022-04-19,0.007516376214961222
2022-04-20,-0.0004936914698690665
2022-04-21,-0.037914047735569105
2022-04-22,-0.029248129773580663
2022-04-25,0.009226347634146878
2022-04-26,-0.035320588501313005
2022-04-27,0.007220050549934238
2022-04-28,0.01822801171300424
2022-04-29,-0.03635592945145321
2022-05-02,0.012650979432258142
2022-05-03,0.015485164885899457
2022-05-04,0.02908512893085627
2022-05-05,-0.04369330194647811
2022-05-06,-0.024487789875211493
2022-05-09,-0.06242053135113011
2022-05-10,-0.002100555393494332
2022-05-11,-0.022520116066441206
2022-05-12,0.007596041830227294
2022-05-13,0.044361349317239535
2022-05-16,-0.0018859402397400568
2022-05-17,0.03171076992310351
2022-05-18,-0.0526710987775529
2022-05-19,0.009971321581930655
