limited_scope_evidence_label,pair_count
PAIRWISE_MODERATE_ASSOCIATION_LIMITED_EVIDENCE,15
PAIRWISE_HIGH_ASSOCIATION_LIMITED_EVIDENCE,7
PAIRWISE_MIXED_ASSOCIATION_LIMITED_EVIDENCE,6
