rsm_state,next_state,count,from_total,transition_rate
BOTTOM_DECILE,BOTTOM_DECILE,4528,6629,0.6830592849600241
BOTTOM_DECILE,MIDDLE,2101,6629,0.31694071503997584
MIDDLE,BOTTOM_DECILE,2101,52361,0.04012528408548347
MIDDLE,MIDDLE,48128,52361,0.9191573881323886
MIDDLE,TOP_DECILE,2132,52361,0.04071732778212792
TOP_DECILE,MIDDLE,2129,6629,0.3211645798763011
TOP_DECILE,TOP_DECILE,4500,6629,0.6788354201236989
