year,rsm_state,observations,mean_rsm_score,mean_raw_momentum_percentile,mean_residual_vol_36m,mean_residual_sum_12_1
2014,BOTTOM_DECILE,473,-5.411737194468863,0.1503293961889157,0.052887307968849426,-0.2842583301115991
2014,MIDDLE,3736,-0.2472160622609936,0.4952166217569805,0.057511126307689266,-0.00724433117898741
2014,TOP_DECILE,473,5.099939189540929,0.8874522129356527,0.06772058305938342,0.34675960303632475
2015,BOTTOM_DECILE,528,-5.214864673614041,0.16475367937584978,0.06071081157307682,-0.31942068441696936
2015,MIDDLE,4162,0.11167649003674195,0.5020048761655177,0.05817196436259219,0.0033636611638090275
2015,TOP_DECILE,528,5.228512642832071,0.8194427323648992,0.058507566330355885,0.3060105009687479
2016,BOTTOM_DECILE,535,-5.80819378781525,0.10688032485618558,0.06938196090736355,-0.4028897188382238
2016,MIDDLE,4223,0.24404277955217582,0.5055489633024336,0.05936814390017976,0.006125008880150535
2016,TOP_DECILE,535,5.564837632021517,0.8493191666836691,0.0556343975751806,0.31532739039558083
2017,BOTTOM_DECILE,546,-5.201415043299964,0.14544959284992195,0.057367329344339954,-0.2972757801835563
2017,MIDDLE,4308,-0.19092315117887323,0.4969984830855502,0.0604924550415658,-0.010794688642388379
2017,TOP_DECILE,546,4.730778203960915,0.878232705442111,0.06605149717512634,0.31700854614248697
2018,BOTTOM_DECILE,552,-6.02043870715542,0.1192093362567777,0.05783385393182651,-0.34715801244568956
2018,MIDDLE,4379,-0.6630467479487132,0.4996674112268469,0.06008100558266005,-0.0346853297187918
2018,TOP_DECILE,552,4.879977686470277,0.8834290808403916,0.06803333849060055,0.3312632297973616
2019,BOTTOM_DECILE,561,-5.150531051801916,0.14912403591265486,0.06777997274631543,-0.34948086292188735
2019,MIDDLE,4425,0.3263525350299655,0.5020281354252313,0.06019392674883976,0.014462607064064428
2019,TOP_DECILE,561,5.48093912781329,0.8348786392091838,0.059427663732115506,0.32268486996082313
2020,BOTTOM_DECILE,565,-6.54687935719871,0.24385706085582076,0.06351694096930592,-0.41236405454878233
2020,MIDDLE,4477,-0.793597284637692,0.49725424387465383,0.06578682850703226,-0.05141244344604132
2020,TOP_DECILE,565,4.584944229186496,0.7779000190967005,0.07706105427822456,0.3592625285836356
2021,BOTTOM_DECILE,576,-5.661977846692019,0.29092082749837844,0.0717613305203705,-0.4008656208449613
2021,MIDDLE,4525,-0.7093747022552317,0.4910479062733923,0.07300894696571056,-0.051459888834971435
2021,TOP_DECILE,576,4.606825632977465,0.7794059504754061,0.07485558253361764,0.3473115294272529
2022,BOTTOM_DECILE,576,-5.379675098728248,0.1560211217082799,0.06867574065143296,-0.36711939334271404
2022,MIDDLE,4551,-0.23067545842546655,0.49619514263816805,0.0751335292608107,-0.012467571019339613
2022,TOP_DECILE,576,5.060574009930607,0.874041214843277,0.08532603607461435,0.43617074306959286
2023,BOTTOM_DECILE,583,-5.139906439298314,0.12378926610921055,0.07596035764054439,-0.3853458965717786
2023,MIDDLE,4608,0.07635345650253529,0.5002533882438953,0.07351793711464555,0.010067098777740806
2023,TOP_DECILE,583,5.33185842407303,0.874207967119143,0.08444466662627532,0.461565431143941
2024,BOTTOM_DECILE,588,-5.9298392123006565,0.13185219654724636,0.06772781789265464,-0.3986527313741036
2024,MIDDLE,4653,-0.7932837069432771,0.5011573994417413,0.07169107603223031,-0.05349662266195276
2024,TOP_DECILE,588,4.603330378061344,0.8589889946050968,0.08122552812645063,0.3914574738114078
2025,BOTTOM_DECILE,596,-6.292962406143628,0.1172277667700163,0.07504538463557364,-0.46856025293637193
2025,MIDDLE,4707,-0.5372336874603387,0.49916020639494585,0.07155254854618691,-0.03925098510645496
2025,TOP_DECILE,596,5.184227167625422,0.8894046300403692,0.07759108676475637,0.4049584515944752
