month,eligible_count,spearman_rsm_vs_raw_momentum,pearson_rsm_score_vs_raw_return_12_1
2014-02-28,422,0.7982157688705409,0.7597763178318747
2014-03-31,423,0.7906913545953427,0.7337707424342766
2014-04-30,423,0.7883530789832338,0.7373365489898293
2014-05-31,424,0.768199242764147,0.7335902891571571
2014-06-30,424,0.7621501719917192,0.7423682126466176
2014-07-31,426,0.7908989132480514,0.7457341906936162
2014-08-31,427,0.779711515608127,0.7380756713350153
2014-09-30,428,0.7707775601141621,0.7277782157703189
2014-10-31,428,0.7473637133511503,0.7035003937163086
2014-11-30,428,0.7191233770060185,0.6804385574422678
2014-12-31,429,0.7177412025053843,0.6826743062221887
2015-01-31,431,0.674020515956522,0.6488627254800039
2015-02-28,431,0.7165596503534236,0.695258742029209
2015-03-31,432,0.7099605741104914,0.6973680425236771
2015-04-30,435,0.6156530410227179,0.5964972843255887
2015-05-31,435,0.6429408240115345,0.607313929683543
2015-06-30,435,0.625317339639063,0.557513832030195
2015-07-31,436,0.672377669204992,0.6155415354823017
2015-08-31,436,0.613820467844301,0.5812580706971536
2015-09-30,436,0.6419074866236607,0.6030478262006697
2015-10-31,436,0.6727593228977014,0.6290366039569703
2015-11-30,437,0.6988724290084374,0.673924385325414
2015-12-31,438,0.7363547632663952,0.7160800948591667
2016-01-31,438,0.7180035701282277,0.7057218158531281
2016-02-29,438,0.7459719309575273,0.7363763205807804
2016-03-31,438,0.7234980744457207,0.7375273870012277
2016-04-30,438,0.7054657779167167,0.7139471729553292
2016-05-31,439,0.7614306544081562,0.763061441223908
2016-06-30,441,0.7894055524307626,0.7842640687445436
2016-07-31,442,0.8303956415002187,0.8063513788232238
2016-08-31,443,0.8519700000910997,0.8139265926835789
2016-09-30,443,0.8461589532496452,0.7744983439049041
2016-10-31,443,0.8430773040386639,0.7428552017626038
2016-11-30,445,0.7903284450369652,0.735683180794232
2016-12-31,445,0.8308213236665899,0.773507630833177
2017-01-31,445,0.7590332257989838,0.702429207412145
2017-02-28,447,0.652929362523593,0.5894656112265576
2017-03-31,448,0.6472540982731413,0.6064991680908984
2017-04-30,448,0.7237082191810071,0.6440411103923424
2017-05-31,448,0.777777851921923,0.7177989897721777
2017-06-30,449,0.780740136811963,0.7483256211548381
2017-07-31,452,0.8616963118158829,0.8180892463746402
2017-08-31,452,0.847289547682496,0.8151650382866541
2017-09-30,452,0.8356266258873954,0.7911572681779538
2017-10-31,452,0.8253835109304724,0.7923948930190708
2017-11-30,453,0.7503745513194044,0.7563180693675308
2017-12-31,454,0.7792123446760665,0.7755331112024241
2018-01-31,455,0.7288765373277314,0.7355369159720152
2018-02-28,455,0.7255972870162529,0.7219866917512912
2018-03-31,455,0.7642632929324328,0.7433714796616682
2018-04-30,455,0.817040738070184,0.7800608393535636
2018-05-31,455,0.8268072757291399,0.7865142359218493
2018-06-30,456,0.8335493252572603,0.8168956704606011
2018-07-31,457,0.8363363234991631,0.7958355608349107
2018-08-31,458,0.802781167442308,0.7615568441868253
2018-09-30,458,0.8039823983511272,0.7635104287168192
2018-10-31,459,0.7950264999360923,0.7303288836663219
2018-11-30,460,0.8014548848241866,0.719434748413679
2018-12-31,460,0.7741996808154556,0.7469933182925663
2019-01-31,460,0.7989027646017068,0.7712512111695532
2019-02-28,460,0.6601421844477363,0.6677527145867865
2019-03-31,460,0.7528039604033636,0.7298528242499803
2019-04-30,461,0.7193827769891149,0.7089371332315598
2019-05-31,461,0.6641167471592824,0.6576484663858345
2019-06-30,461,0.6497488458914471,0.6583813825371821
2019-07-31,461,0.6481495680590277,0.6712329516090234
2019-08-31,464,0.6325823989698177,0.6482930513385127
2019-09-30,464,0.6399334994246066,0.664699144167937
2019-10-31,464,0.7200573231115927,0.729245904147179
2019-11-30,465,0.7930376861271705,0.7692017936535464
2019-12-31,466,0.7503972706744247,0.7259134952751499
2020-01-31,466,0.7116553384516093,0.6585234757731548
2020-02-29,466,0.7454855281768534,0.7084268628010856
2020-03-31,466,0.6914322881848104,0.6709627600159577
2020-04-30,466,0.6821806144480766,0.6663767074404278
